Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
19930805T0100|20.915028|0.0|84.0|6.989936|1993-08-05T01:00:00.000+02:00|1993-08-05
19930805T0200|19.985027|0.0|87.0|8.217153|1993-08-05T02:00:00.000+02:00|1993-08-05
19930805T0300|18.715029|0.0|89.0|8.766573|1993-08-05T03:00:00.000+02:00|1993-08-05
19930805T0400|17.255028|0.0|92.0|9.178235|1993-08-05T04:00:00.000+02:00|1993-08-05
19930805T0500|17.225029|0.0|93.0|9.422101|1993-08-05T05:00:00.000+02:00|1993-08-05
19930805T0600|19.595028|0.0|92.0|9.0645685|1993-08-05T06:00:00.000+02:00|1993-08-05
19930805T0700|23.545029|0.0|79.0|10.990322|1993-08-05T07:00:00.000+02:00|1993-08-05
19930805T0800|26.375029|0.0|63.0|15.629971|1993-08-05T08:00:00.000+02:00|1993-08-05
19930805T0900|27.805029|0.0|52.0|21.518847|1993-08-05T09:00:00.000+02:00|1993-08-05
19930805T1000|28.445028|0.0|49.0|24.482647|1993-08-05T10:00:00.000+02:00|1993-08-05
19930805T1100|28.995028|0.0|47.0|24.014996|1993-08-05T11:00:00.000+02:00|1993-08-05
19930805T1200|29.485027|0.0|46.0|24.387178|1993-08-05T12:00:00.000+02:00|1993-08-05
19930805T1300|29.785028|0.0|45.0|25.872456|1993-08-05T13:00:00.000+02:00|1993-08-05
19930805T1400|29.785028|0.0|44.0|25.809765|1993-08-05T14:00:00.000+02:00|1993-08-05
19930805T1500|28.615028|0.1|46.0|24.95452|1993-08-05T15:00:00.000+02:00|1993-08-05
19930805T1600|27.165028|0.1|52.0|20.393293|1993-08-05T16:00:00.000+02:00|1993-08-05
19930805T1700|27.155027|0.0|49.0|17.114204|1993-08-05T17:00:00.000+02:00|1993-08-05
19930805T1800|26.325027|0.0|48.0|15.379206|1993-08-05T18:00:00.000+02:00|1993-08-05
19930805T1900|23.315027|0.0|53.0|10.703569|1993-08-05T19:00:00.000+02:00|1993-08-05
19930805T2000|22.235027|0.0|57.0|7.4128532|1993-08-05T20:00:00.000+02:00|1993-08-05
19930805T2100|20.755028|0.0|62.0|6.1094027|1993-08-05T21:00:00.000+02:00|1993-08-05
19930805T2200|19.545029|0.0|67.0|5.00128|1993-08-05T22:00:00.000+02:00|1993-08-05
19930805T2300|18.175028|0.0|73.0|5.771239|1993-08-05T23:00:00.000+02:00|1993-08-05
19930806T0000|17.025028|0.0|76.0|6.638072|1993-08-06T00:00:00.000+02:00|1993-08-06
19930806T0100|16.49503|0.0|79.0|6.28713|1993-08-06T01:00:00.000+02:00|1993-08-06
19930806T0200|16.415028|0.0|80.0|5.95906|1993-08-06T02:00:00.000+02:00|1993-08-06
19930806T0300|15.575029|0.0|84.0|5.634891|1993-08-06T03:00:00.000+02:00|1993-08-06
19930806T0400|14.755029|0.0|88.0|5.00128|1993-08-06T04:00:00.000+02:00|1993-08-06
19930806T0500|15.195029|0.0|87.0|3.8939953|1993-08-06T05:00:00.000+02:00|1993-08-06
19930806T0600|18.135029|0.0|78.0|4.8433046|1993-08-06T06:00:00.000+02:00|1993-08-06
19930806T0700|20.215029|0.0|67.0|6.9153743|1993-08-06T07:00:00.000+02:00|1993-08-06
19930806T0800|21.385029|0.0|63.0|7.8954163|1993-08-06T08:00:00.000+02:00|1993-08-06
19930806T0900|22.375029|0.0|58.0|10.00256|1993-08-06T09:00:00.000+02:00|1993-08-06
19930806T1000|23.175028|0.0|55.0|11.923557|1993-08-06T10:00:00.000+02:00|1993-08-06
