Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
19980211T1500|14.045029|0.0|64.0|6.9527545|1998-02-11T15:00:00.000+01:00|1998-02-11
19980211T1600|12.905029|0.0|70.0|6.9899354|1998-02-11T16:00:00.000+01:00|1998-02-11
19980211T1700|11.2050295|0.0|78.0|8.64|1998-02-11T17:00:00.000+01:00|1998-02-11
19980211T1800|10.375029|0.0|74.0|8.473393|1998-02-11T18:00:00.000+01:00|1998-02-11
19980211T1900|9.485029|0.0|80.0|9.028754|1998-02-11T19:00:00.000+01:00|1998-02-11
19980211T2000|8.7450285|0.0|84.0|9.0|1998-02-11T20:00:00.000+01:00|1998-02-11
19980211T2100|7.805029|0.0|88.0|9.36|1998-02-11T21:00:00.000+01:00|1998-02-11
19980211T2200|6.765029|0.0|93.0|9.726665|1998-02-11T22:00:00.000+01:00|1998-02-11
19980211T2300|5.765029|0.0|93.0|10.464798|1998-02-11T23:00:00.000+01:00|1998-02-11
19980212T0000|4.9950285|0.0|92.0|11.183201|1998-02-12T00:00:00.000+01:00|1998-02-12
19980212T0100|4.225029|0.0|91.0|11.885453|1998-02-12T01:00:00.000+01:00|1998-02-12
19980212T0200|3.4950287|0.0|90.0|12.261158|1998-02-12T02:00:00.000+01:00|1998-02-12
19980212T0300|2.8950288|0.0|87.0|12.287555|1998-02-12T03:00:00.000+01:00|1998-02-12
19980212T0400|2.3150287|0.0|85.0|13.084402|1998-02-12T04:00:00.000+01:00|1998-02-12
19980212T0500|1.9550288|0.0|81.0|13.138765|1998-02-12T05:00:00.000+01:00|1998-02-12
19980212T0600|1.6750288|0.0|78.0|13.138765|1998-02-12T06:00:00.000+01:00|1998-02-12
19980212T0700|1.7150288|0.0|76.0|12.783802|1998-02-12T07:00:00.000+01:00|1998-02-12
19980212T0800|4.215029|0.0|67.0|11.013882|1998-02-12T08:00:00.000+01:00|1998-02-12
19980212T0900|8.105029|0.0|66.0|8.766573|1998-02-12T09:00:00.000+01:00|1998-02-12
19980212T1000|11.465029|0.0|54.0|9.290511|1998-02-12T10:00:00.000+01:00|1998-02-12
19980212T1100|13.395029|0.0|51.0|9.178235|1998-02-12T11:00:00.000+01:00|1998-02-12
19980212T1200|14.355029|0.0|46.0|10.233123|1998-02-12T12:00:00.000+01:00|1998-02-12
19980212T1300|14.675029|0.0|48.0|10.685391|1998-02-12T13:00:00.000+01:00|1998-02-12
19980212T1400|14.785029|0.0|51.0|10.315115|1998-02-12T14:00:00.000+01:00|1998-02-12
19980212T1500|14.715029|0.0|54.0|8.707237|1998-02-12T15:00:00.000+01:00|1998-02-12
19980212T1600|13.405029|0.0|67.0|6.696387|1998-02-12T16:00:00.000+01:00|1998-02-12
19980212T1700|11.975029|0.0|72.0|7.145796|1998-02-12T17:00:00.000+01:00|1998-02-12
19980212T1800|9.365028|0.0|95.0|8.557102|1998-02-12T18:00:00.000+01:00|1998-02-12
19980212T1900|8.445029|0.0|100.0|8.766573|1998-02-12T19:00:00.000+01:00|1998-02-12
19980212T2000|7.4950285|0.0|100.0|8.557102|1998-02-12T20:00:00.000+01:00|1998-02-12
19980212T2100|5.3350286|0.0|99.0|8.825508|1998-02-12T21:00:00.000+01:00|1998-02-12
