Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
19870228T1900|8.555029|0.8|100.0|10.636766|1987-02-28T19:00:00.000+01:00|1987-02-28
19870228T2000|8.515029|0.7|100.0|11.792404|1987-02-28T20:00:00.000+01:00|1987-02-28
19870228T2100|8.465029|0.6|100.0|12.397806|1987-02-28T21:00:00.000+01:00|1987-02-28
19870228T2200|8.4950285|0.5|100.0|12.413476|1987-02-28T22:00:00.000+01:00|1987-02-28
19870228T2300|8.535028|0.3|100.0|13.75558|1987-02-28T23:00:00.000+01:00|1987-02-28
19870301T0000|8.475029|0.3|100.0|13.339445|1987-03-01T00:00:00.000+01:00|1987-03-01
19870301T0100|8.355029|0.2|100.0|12.979984|1987-03-01T01:00:00.000+01:00|1987-03-01
19870301T0200|8.165029|0.2|100.0|13.039754|1987-03-01T02:00:00.000+01:00|1987-03-01
19870301T0300|7.965029|0.5|100.0|12.849528|1987-03-01T03:00:00.000+01:00|1987-03-01
19870301T0400|7.7850285|0.2|100.0|12.661564|1987-03-01T04:00:00.000+01:00|1987-03-01
19870301T0500|7.605029|0.3|99.0|11.841756|1987-03-01T05:00:00.000+01:00|1987-03-01
19870301T0600|7.4450293|0.2|100.0|11.113451|1987-03-01T06:00:00.000+01:00|1987-03-01
19870301T0700|7.7850285|0.0|98.0|10.948973|1987-03-01T07:00:00.000+01:00|1987-03-01
19870301T0800|8.025029|0.0|95.0|10.787993|1987-03-01T08:00:00.000+01:00|1987-03-01
19870301T0900|8.255029|0.0|89.0|11.874544|1987-03-01T09:00:00.000+01:00|1987-03-01
19870301T1000|8.595029|0.0|84.0|10.739833|1987-03-01T10:00:00.000+01:00|1987-03-01
19870301T1100|11.355029|0.0|71.0|10.390226|1987-03-01T11:00:00.000+01:00|1987-03-01
19870301T1200|11.445029|0.0|69.0|10.308831|1987-03-01T12:00:00.000+01:00|1987-03-01
19870301T1300|11.365029|0.0|69.0|10.661107|1987-03-01T13:00:00.000+01:00|1987-03-01
19870301T1400|10.965029|0.0|70.0|10.495713|1987-03-01T14:00:00.000+01:00|1987-03-01
19870301T1500|11.035029|0.0|71.0|8.707238|1987-03-01T15:00:00.000+01:00|1987-03-01
19870301T1600|10.735029|0.0|74.0|7.5170207|1987-03-01T16:00:00.000+01:00|1987-03-01
19870301T1700|10.395029|0.0|78.0|5.495161|1987-03-01T17:00:00.000+01:00|1987-03-01
19870301T1800|6.2550287|0.0|99.0|9.6932955|1987-03-01T18:00:00.000+01:00|1987-03-01
19870301T1900|6.0750284|0.6|100.0|10.594036|1987-03-01T19:00:00.000+01:00|1987-03-01
19870301T2000|5.925029|0.6|99.0|11.183201|1987-03-01T20:00:00.000+01:00|1987-03-01
19870301T2100|5.725029|0.3|100.0|11.885453|1987-03-01T21:00:00.000+01:00|1987-03-01
19870301T2200|5.6250286|0.1|99.0|12.429127|1987-03-01T22:00:00.000+01:00|1987-03-01
19870301T2300|5.645029|0.0|100.0|12.7279215|1987-03-01T23:00:00.000+01:00|1987-03-01
19870302T0000|5.685029|0.0|100.0|13.684735|1987-03-02T00:00:00.000+01:00|1987-03-02
19870302T0100|5.565029|0.0|100.0|14.799459|1987-03-02T01:00:00.000+01:00|1987-03-02
19870302T0200|5.4150286|0.0|100.0|15.5843|1987-03-02T02:00:00.000+01:00|1987-03-02
19870302T0300|5.385029|0.0|100.0|17.026896|1987-03-02T03:00:00.000+01:00|1987-03-02
19870302T0400|5.3750286|0.0|100.0|18.204042|1987-03-02T04:00:00.000+01:00|1987-03-02
19870302T0500|5.405029|0.0|100.0|19.469976|1987-03-02T05:00:00.000+01:00|1987-03-02
19870302T0600|5.525029|0.0|100.0|21.028437|1987-03-02T06:00:00.000+01:00|1987-03-02
19870302T0700|6.525029|0.0|100.0|22.932877|1987-03-02T07:00:00.000+01:00|1987-03-02
19870302T0800|7.7050285|0.0|99.0|25.20257|1987-03-02T08:00:00.000+01:00|1987-03-02
19870302T0900|9.105029|0.0|95.0|28.856194|1987-03-02T09:00:00.000+01:00|1987-03-02
19870302T1000|10.655029|0.0|90.0|39.738846|1987-03-02T10:00:00.000+01:00|1987-03-02
19870302T1100|10.385029|0.3|94.0|46.060303|1987-03-02T11:00:00.000+01:00|1987-03-02
19870302T1200|10.335029|0.8|95.0|41.112568|1987-03-02T12:00:00.000+01:00|1987-03-02
19870302T1300|10.145029|1.1|94.0|36.918873|1987-03-02T13:00:00.000+01:00|1987-03-02
19870302T1400|9.805029|1.2|94.0|34.126022|1987-03-02T14:00:00.000+01:00|1987-03-02
19870302T1500|9.655029|1.0|95.0|33.66337|1987-03-02T15:00:00.000+01:00|1987-03-02
19870302T1600|9.315029|0.9|98.0|35.572662|1987-03-02T16:00:00.000+01:00|1987-03-02
19870302T1700|8.985029|0.8|100.0|41.699436|1987-03-02T17:00:00.000+01:00|1987-03-02
19870302T1800|5.3350286|0.3|99.0|48.02999|1987-03-02T18:00:00.000+01:00|1987-03-02
19870302T1900|4.5450287|0.3|99.0|46.95068|1987-03-02T19:00:00.000+01:00|1987-03-02
19870302T2000|3.9850287|0.3|100.0|47.9895|1987-03-02T20:00:00.000+01:00|1987-03-02
19870302T2100|3.6350288|0.1|100.0|49.341015|1987-03-02T21:00:00.000+01:00|1987-03-02
19870302T2200|3.2450287|0.0|99.0|52.199997|1987-03-02T22:00:00.000+01:00|1987-03-02
19870302T2300|2.765029|0.0|98.0|55.707016|1987-03-02T23:00:00.000+01:00|1987-03-02
19870303T0000|2.555029|0.0|96.0|58.151978|1987-03-03T00:00:00.000+01:00|1987-03-03
19870303T0100|2.4150288|0.3|96.0|56.753403|1987-03-03T01:00:00.000+01:00|1987-03-03
19870303T0200|1.7850288|1.3|98.0|50.554047|1987-03-03T02:00:00.000+01:00|1987-03-03
19870303T0300|1.6150289|1.9|98.0|47.18198|1987-03-03T03:00:00.000+01:00|1987-03-03
19870303T0400|1.4650288|1.0|97.0|44.39546|1987-03-03T04:00:00.000+01:00|1987-03-03
19870303T0500|0.6750288|0.5|96.0|39.562347|1987-03-03T05:00:00.000+01:00|1987-03-03
19870303T0600|-0.3249712|0.4|95.0|34.17157|1987-03-03T06:00:00.000+01:00|1987-03-03
19870303T0700|-0.8549712|0.3|94.0|29.427658|1987-03-03T07:00:00.000+01:00|1987-03-03
19870303T0800|-1.0349712|0.3|92.0|23.83896|1987-03-03T08:00:00.000+01:00|1987-03-03
19870303T0900|-1.2049713|0.4|94.0|19.386591|1987-03-03T09:00:00.000+01:00|1987-03-03
19870303T1000|-1.0849712|0.5|93.0|15.596767|1987-03-03T10:00:00.000+01:00|1987-03-03
19870303T1100|-0.8149712|0.3|84.0|11.269782|1987-03-03T11:00:00.000+01:00|1987-03-03
19870303T1200|-0.34497118|0.1|78.0|8.4963045|1987-03-03T12:00:00.000+01:00|1987-03-03
19870303T1300|0.18502879|0.0|74.0|7.7879906|1987-03-03T13:00:00.000+01:00|1987-03-03
19870303T1400|0.7250288|0.0|74.0|8.209263|1987-03-03T14:00:00.000+01:00|1987-03-03
19870303T1500|0.8650288|0.0|77.0|9.36|1987-03-03T15:00:00.000+01:00|1987-03-03
19870303T1600|0.5350288|0.0|80.0|10.8955765|1987-03-03T16:00:00.000+01:00|1987-03-03
19870303T1700|0.1750288|0.0|84.0|11.620809|1987-03-03T17:00:00.000+01:00|1987-03-03
19870303T1800|-1.6349711|0.0|93.0|13.830749|1987-03-03T18:00:00.000+01:00|1987-03-03
19870303T1900|-2.2949712|0.0|94.0|13.746156|1987-03-03T19:00:00.000+01:00|1987-03-03
19870303T2000|-2.954971|0.0|94.0|12.031756|1987-03-03T20:00:00.000+01:00|1987-03-03
19870303T2100|-3.8349712|0.0|94.0|11.4862|1987-03-03T21:00:00.000+01:00|1987-03-03
19870303T2200|-5.144971|0.0|94.0|10.464797|1987-03-03T22:00:00.000+01:00|1987-03-03
19870303T2300|-6.5849714|0.0|92.0|9.693296|1987-03-03T23:00:00.000+01:00|1987-03-03
19870304T0000|-8.024971|0.0|91.0|9.107359|1987-03-04T00:00:00.000+01:00|1987-03-04
19870304T0100|-9.184971|0.0|90.0|8.311245|1987-03-04T01:00:00.000+01:00|1987-03-04
19870304T0200|-10.104971|0.0|88.0|7.8625183|1987-03-04T02:00:00.000+01:00|1987-03-04
19870304T0300|-10.814971|0.0|88.0|7.2805495|1987-03-04T03:00:00.000+01:00|1987-03-04
19870304T0400|-11.344971|0.0|87.0|6.8399997|1987-03-04T04:00:00.000+01:00|1987-03-04
19870304T0500|-11.674971|0.0|86.0|6.5693827|1987-03-04T05:00:00.000+01:00|1987-03-04
19870304T0600|-11.864971|0.0|86.0|6.151683|1987-03-04T06:00:00.000+01:00|1987-03-04
19870304T0700|-10.574971|0.0|88.0|5.815978|1987-03-04T07:00:00.000+01:00|1987-03-04
19870304T0800|-6.7549706|0.0|89.0|5.154415|1987-03-04T08:00:00.000+01:00|1987-03-04
19870304T0900|-4.7949715|0.0|89.0|5.692099|1987-03-04T09:00:00.000+01:00|1987-03-04
19870304T1000|-2.5449712|0.0|69.0|5.1165614|1987-03-04T10:00:00.000+01:00|1987-03-04
19870304T1100|-1.6149712|0.0|68.0|4.6102495|1987-03-04T11:00:00.000+01:00|1987-03-04
19870304T1200|-0.7049713|0.0|67.0|3.0758414|1987-03-04T12:00:00.000+01:00|1987-03-04
19870304T1300|-0.24497116|0.0|69.0|2.6208394|1987-03-04T13:00:00.000+01:00|1987-03-04
19870304T1400|-0.34497118|0.0|71.0|3.563818|1987-03-04T14:00:00.000+01:00|1987-03-04
19870304T1500|-0.5649712|0.0|72.0|4.8433046|1987-03-04T15:00:00.000+01:00|1987-03-04
19870304T1600|-1.0149713|0.0|80.0|5.3517847|1987-03-04T16:00:00.000+01:00|1987-03-04
19870304T1700|-1.3849711|0.0|78.0|4.8433046|1987-03-04T17:00:00.000+01:00|1987-03-04
19870304T1800|-0.024971247|0.0|90.0|6.792466|1987-03-04T18:00:00.000+01:00|1987-03-04
19870304T1900|0.23502874|0.0|89.0|5.815978|1987-03-04T19:00:00.000+01:00|1987-03-04
19870304T2000|0.4350288|0.0|93.0|6.2145634|1987-03-04T20:00:00.000+01:00|1987-03-04
19870304T2100|0.7550288|0.0|90.0|7.2359104|1987-03-04T21:00:00.000+01:00|1987-03-04
19870304T2200|0.7550288|0.0|91.0|9.885262|1987-03-04T22:00:00.000+01:00|1987-03-04
