Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
19970322T0300|1.7350287|0.0|88.0|3.6|1997-03-22T03:00:00.000+01:00|1997-03-22
19970322T0400|1.4350288|0.0|90.0|3.5455887|1997-03-22T04:00:00.000+01:00|1997-03-22
19970322T0500|1.1250288|0.0|92.0|4.0249224|1997-03-22T05:00:00.000+01:00|1997-03-22
19970322T0600|1.4650288|0.0|94.0|4.3498964|1997-03-22T06:00:00.000+01:00|1997-03-22
19970322T0700|3.9250288|0.0|82.0|5.3999996|1997-03-22T07:00:00.000+01:00|1997-03-22
19970322T0800|5.355029|0.0|75.0|7.491114|1997-03-22T08:00:00.000+01:00|1997-03-22
19970322T0900|6.685029|0.0|69.0|9.793059|1997-03-22T09:00:00.000+01:00|1997-03-22
19970322T1000|7.8750286|0.0|61.0|12.783802|1997-03-22T10:00:00.000+01:00|1997-03-22
19970322T1100|8.675029|0.0|56.0|13.397612|1997-03-22T11:00:00.000+01:00|1997-03-22
19970322T1200|9.485029|0.0|55.0|13.896187|1997-03-22T12:00:00.000+01:00|1997-03-22
19970322T1300|10.085029|0.0|54.0|14.291592|1997-03-22T13:00:00.000+01:00|1997-03-22
19970322T1400|10.395029|0.0|54.0|14.773164|1997-03-22T14:00:00.000+01:00|1997-03-22
19970322T1500|10.445029|0.0|54.0|15.281989|1997-03-22T15:00:00.000+01:00|1997-03-22
19970322T1600|10.075029|0.0|56.0|15.856354|1997-03-22T16:00:00.000+01:00|1997-03-22
19970322T1700|8.975029|0.0|62.0|13.830749|1997-03-22T17:00:00.000+01:00|1997-03-22
19970322T1800|5.595029|0.0|79.0|14.77755|1997-03-22T18:00:00.000+01:00|1997-03-22
19970322T1900|4.4150286|0.0|85.0|11.119281|1997-03-22T19:00:00.000+01:00|1997-03-22
19970322T2000|3.3850288|0.0|86.0|9.360001|1997-03-22T20:00:00.000+01:00|1997-03-22
19970322T2100|2.805029|0.0|87.0|7.771331|1997-03-22T21:00:00.000+01:00|1997-03-22
19970322T2200|2.2650287|0.0|87.0|6.924738|1997-03-22T22:00:00.000+01:00|1997-03-22
19970322T2300|1.8550287|0.0|89.0|6.489992|1997-03-22T23:00:00.000+01:00|1997-03-22
19970323T0000|1.5350288|0.0|89.0|6.12|1997-03-23T00:00:00.000+01:00|1997-03-23
19970323T0100|1.2950288|0.0|90.0|5.8048253|1997-03-23T01:00:00.000+01:00|1997-03-23
19970323T0200|1.1250288|0.0|90.0|5.3517847|1997-03-23T02:00:00.000+01:00|1997-03-23
19970323T0300|0.9550288|0.0|90.0|5.991594|1997-03-23T03:00:00.000+01:00|1997-03-23
19970323T0400|0.6950288|0.0|91.0|6.3690495|1997-03-23T04:00:00.000+01:00|1997-03-23
19970323T0500|0.36502874|0.0|92.0|7.42159|1997-03-23T05:00:00.000+01:00|1997-03-23
19970323T0600|0.9850288|0.0|88.0|8.287822|1997-03-23T06:00:00.000+01:00|1997-03-23
19970323T0700|4.145029|0.0|73.0|8.049845|1997-03-23T07:00:00.000+01:00|1997-03-23
19970323T0800|6.465029|0.0|59.0|8.473393|1997-03-23T08:00:00.000+01:00|1997-03-23
19970323T0900|8.355029|0.0|53.0|9.0645685|1997-03-23T09:00:00.000+01:00|1997-03-23
19970323T1000|10.235029|0.0|48.0|9.793059|1997-03-23T10:00:00.000+01:00|1997-03-23
19970323T1100|11.185029|0.0|46.0|10.315115|1997-03-23T11:00:00.000+01:00|1997-03-23
19970323T1200|12.075029|0.0|45.0|10.636766|1997-03-23T12:00:00.000+01:00|1997-03-23
19970323T1300|12.625029|0.0|44.0|12.7279215|1997-03-23T13:00:00.000+01:00|1997-03-23
19970323T1400|12.825029|0.0|46.0|15.575981|1997-03-23T14:00:00.000+01:00|1997-03-23
19970323T1500|12.765029|0.0|48.0|18.0|1997-03-23T15:00:00.000+01:00|1997-03-23
19970323T1600|12.345029|0.0|52.0|18.79255|1997-03-23T16:00:00.000+01:00|1997-03-23
19970323T1700|11.405029|0.0|56.0|19.022177|1997-03-23T17:00:00.000+01:00|1997-03-23
19970323T1800|10.495029|0.0|50.0|28.174458|1997-03-23T18:00:00.000+01:00|1997-03-23
19970323T1900|10.2050295|0.0|55.0|23.828083|1997-03-23T19:00:00.000+01:00|1997-03-23
