Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
20090905T0500|8.530529|0.0|87.0|5.154415|2009-09-05T05:00:00.000+02:00|2009-09-05
20090905T0600|8.970529|0.0|87.0|4.1046314|2009-09-05T06:00:00.000+02:00|2009-09-05
20090905T0700|11.040529|0.0|86.0|3.9763298|2009-09-05T07:00:00.000+02:00|2009-09-05
20090905T0800|13.160529|0.0|75.0|9.885262|2009-09-05T08:00:00.000+02:00|2009-09-05
20090905T0900|14.450529|0.0|68.0|14.332341|2009-09-05T09:00:00.000+02:00|2009-09-05
20090905T1000|15.480529|0.0|62.0|15.893093|2009-09-05T10:00:00.000+02:00|2009-09-05
20090905T1100|16.29053|0.0|57.0|16.965895|2009-09-05T11:00:00.000+02:00|2009-09-05
20090905T1200|16.920528|0.0|55.0|17.193533|2009-09-05T12:00:00.000+02:00|2009-09-05
20090905T1300|17.410528|0.0|53.0|16.92383|2009-09-05T13:00:00.000+02:00|2009-09-05
20090905T1400|17.600529|0.0|55.0|16.58346|2009-09-05T14:00:00.000+02:00|2009-09-05
20090905T1500|17.520529|0.0|55.0|17.287498|2009-09-05T15:00:00.000+02:00|2009-09-05
20090905T1600|17.010529|0.0|56.0|16.904673|2009-09-05T16:00:00.000+02:00|2009-09-05
20090905T1700|16.440529|0.0|59.0|14.693999|2009-09-05T17:00:00.000+02:00|2009-09-05
20090905T1800|15.230529|0.0|65.0|9.693296|2009-09-05T18:00:00.000+02:00|2009-09-05
20090905T1900|14.150529|0.0|70.0|7.24486|2009-09-05T19:00:00.000+02:00|2009-09-05
20090905T2000|13.320529|0.0|76.0|5.7599998|2009-09-05T20:00:00.000+02:00|2009-09-05
20090905T2100|13.290529|0.0|72.0|3.6179552|2009-09-05T21:00:00.000+02:00|2009-09-05
20090905T2200|13.190529|0.0|72.0|2.52|2009-09-05T22:00:00.000+02:00|2009-09-05
20090905T2300|13.0505295|0.0|73.0|1.484318|2009-09-05T23:00:00.000+02:00|2009-09-05
20090906T0000|12.980529|0.0|74.0|0.71999997|2009-09-06T00:00:00.000+02:00|2009-09-06
20090906T0100|12.820529|0.0|72.0|1.0182338|2009-09-06T01:00:00.000+02:00|2009-09-06
20090906T0200|12.290529|0.0|74.0|0.8049845|2009-09-06T02:00:00.000+02:00|2009-09-06
20090906T0300|11.500529|0.0|77.0|0.8049845|2009-09-06T03:00:00.000+02:00|2009-09-06
20090906T0400|11.100529|0.0|83.0|2.0364676|2009-09-06T04:00:00.000+02:00|2009-09-06
20090906T0500|10.700529|0.0|83.0|3.319036|2009-09-06T05:00:00.000+02:00|2009-09-06
20090906T0600|10.760529|0.0|85.0|3.219938|2009-09-06T06:00:00.000+02:00|2009-09-06
20090906T0700|11.940529|0.0|84.0|4.1046314|2009-09-06T07:00:00.000+02:00|2009-09-06
20090906T0800|13.370529|0.0|84.0|6.830519|2009-09-06T08:00:00.000+02:00|2009-09-06
20090906T0900|15.290529|0.0|76.0|7.9932976|2009-09-06T09:00:00.000+02:00|2009-09-06
20090906T1000|16.860529|0.0|65.0|7.92|2009-09-06T10:00:00.000+02:00|2009-09-06
20090906T1100|17.830528|0.0|60.0|7.072878|2009-09-06T11:00:00.000+02:00|2009-09-06
20090906T1200|18.72053|0.0|58.0|5.495161|2009-09-06T12:00:00.000+02:00|2009-09-06
20090906T1300|19.40053|0.0|56.0|5.00128|2009-09-06T13:00:00.000+02:00|2009-09-06
20090906T1400|19.770529|0.0|55.0|5.2416787|2009-09-06T14:00:00.000+02:00|2009-09-06
20090906T1500|19.920528|0.0|55.0|5.4477882|2009-09-06T15:00:00.000+02:00|2009-09-06
20090906T1600|19.79053|0.0|56.0|5.4477882|2009-09-06T16:00:00.000+02:00|2009-09-06
20090906T1700|19.22053|0.0|62.0|3.96|2009-09-06T17:00:00.000+02:00|2009-09-06
20090906T1800|18.73053|0.0|59.0|4.379589|2009-09-06T18:00:00.000+02:00|2009-09-06
20090906T1900|17.95053|0.0|60.0|2.4149535|2009-09-06T19:00:00.000+02:00|2009-09-06
20090906T2000|16.97053|0.0|65.0|4.6102495|2009-09-06T20:00:00.000+02:00|2009-09-06
20090906T2100|15.490529|0.0|72.0|4.5820518|2009-09-06T21:00:00.000+02:00|2009-09-06
20090906T2200|14.370529|0.0|73.0|4.6938257|2009-09-06T22:00:00.000+02:00|2009-09-06
20090906T2300|13.950529|0.0|68.0|6.439876|2009-09-06T23:00:00.000+02:00|2009-09-06
20090907T0000|13.8005295|0.0|61.0|6.4096174|2009-09-07T00:00:00.000+02:00|2009-09-07
20090907T0100|13.040529|0.0|61.0|5.991594|2009-09-07T01:00:00.000+02:00|2009-09-07
