Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
20030325T0700|6.9050283|0.0|77.0|4.072935|2003-03-25T07:00:00.000+01:00|2003-03-25
20030325T0800|11.085029|0.0|67.0|4.39436|2003-03-25T08:00:00.000+01:00|2003-03-25
20030325T0900|13.875029|0.0|59.0|3.0547013|2003-03-25T09:00:00.000+01:00|2003-03-25
20030325T1000|15.355029|0.0|51.0|3.2399998|2003-03-25T10:00:00.000+01:00|2003-03-25
20030325T1100|16.295029|0.0|47.0|5.0911684|2003-03-25T11:00:00.000+01:00|2003-03-25
20030325T1200|17.005028|0.0|46.0|6.2145634|2003-03-25T12:00:00.000+01:00|2003-03-25
20030325T1300|17.455029|0.0|45.0|6.638072|2003-03-25T13:00:00.000+01:00|2003-03-25
20030325T1400|17.675028|0.0|45.0|7.072878|2003-03-25T14:00:00.000+01:00|2003-03-25
20030325T1500|17.625029|0.0|46.0|7.172949|2003-03-25T15:00:00.000+01:00|2003-03-25
20030325T1600|17.255028|0.0|48.0|6.638072|2003-03-25T16:00:00.000+01:00|2003-03-25
20030325T1700|16.165028|0.0|58.0|4.0249224|2003-03-25T17:00:00.000+01:00|2003-03-25
20030325T1800|15.735029|0.0|52.0|2.5959969|2003-03-25T18:00:00.000+01:00|2003-03-25
20030325T1900|14.525029|0.0|56.0|2.0364676|2003-03-25T19:00:00.000+01:00|2003-03-25
20030325T2000|13.335029|0.0|60.0|1.484318|2003-03-25T20:00:00.000+01:00|2003-03-25
20030325T2100|12.345029|0.0|64.0|1.08|2003-03-25T21:00:00.000+01:00|2003-03-25
20030325T2200|11.405029|0.0|67.0|1.609969|2003-03-25T22:00:00.000+01:00|2003-03-25
20030325T2300|10.535029|0.0|71.0|2.3051248|2003-03-25T23:00:00.000+01:00|2003-03-25
20030326T0000|9.635029|0.0|75.0|3.096837|2003-03-26T00:00:00.000+01:00|2003-03-26
20030326T0100|8.735029|0.0|78.0|3.7064266|2003-03-26T01:00:00.000+01:00|2003-03-26
20030326T0200|7.7050285|0.0|83.0|4.510787|2003-03-26T02:00:00.000+01:00|2003-03-26
20030326T0300|7.385029|0.0|84.0|5.00128|2003-03-26T03:00:00.000+01:00|2003-03-26
20030326T0400|6.4550285|0.0|88.0|5.634891|2003-03-26T04:00:00.000+01:00|2003-03-26
20030326T0500|5.515029|0.0|92.0|5.495161|2003-03-26T05:00:00.000+01:00|2003-03-26
20030326T0600|6.2050285|0.0|87.0|5.991594|2003-03-26T06:00:00.000+01:00|2003-03-26
20030326T0700|8.655028|0.0|82.0|4.198285|2003-03-26T07:00:00.000+01:00|2003-03-26
20030326T0800|12.155029|0.0|68.0|3.6|2003-03-26T08:00:00.000+01:00|2003-03-26
20030326T0900|14.485029|0.0|58.0|3.096837|2003-03-26T09:00:00.000+01:00|2003-03-26
20030326T1000|15.915029|0.0|50.0|3.319036|2003-03-26T10:00:00.000+01:00|2003-03-26
20030326T1100|16.845028|0.0|45.0|5.0528407|2003-03-26T11:00:00.000+01:00|2003-03-26
20030326T1200|17.535028|0.0|43.0|6.130579|2003-03-26T12:00:00.000+01:00|2003-03-26
20030326T1300|17.965029|0.0|42.0|6.12|2003-03-26T13:00:00.000+01:00|2003-03-26
20030326T1400|18.095028|0.0|42.0|5.8048253|2003-03-26T14:00:00.000+01:00|2003-03-26
20030326T1500|17.995028|0.0|42.0|5.937272|2003-03-26T15:00:00.000+01:00|2003-03-26
20030326T1600|17.615028|0.0|43.0|5.937272|2003-03-26T16:00:00.000+01:00|2003-03-26
20030326T1700|16.56503|0.0|54.0|4.452954|2003-03-26T17:00:00.000+01:00|2003-03-26
20030326T1800|13.685029|0.0|64.0|6.5693827|2003-03-26T18:00:00.000+01:00|2003-03-26
20030326T1900|12.375029|0.0|69.0|5.7599998|2003-03-26T19:00:00.000+01:00|2003-03-26
20030326T2000|11.325029|0.0|74.0|4.802999|2003-03-26T20:00:00.000+01:00|2003-03-26
20030326T2100|10.2050295|0.0|79.0|5.634891|2003-03-26T21:00:00.000+01:00|2003-03-26
20030326T2200|9.125029|0.0|84.0|5.692099|2003-03-26T22:00:00.000+01:00|2003-03-26
20030326T2300|8.005029|0.0|89.0|6.1305785|2003-03-26T23:00:00.000+01:00|2003-03-26
20030327T0000|6.8650284|0.0|94.0|6.618519|2003-03-27T00:00:00.000+01:00|2003-03-27
20030327T0100|5.735029|0.0|97.0|6.8777895|2003-03-27T01:00:00.000+01:00|2003-03-27
20030327T0200|4.695029|0.0|93.0|7.145796|2003-03-27T02:00:00.000+01:00|2003-03-27
20030327T0300|3.6850288|0.0|92.0|7.386582|2003-03-27T03:00:00.000+01:00|2003-03-27
20030327T0400|2.8950288|0.0|91.0|7.386582|2003-03-27T04:00:00.000+01:00|2003-03-27
20030327T0500|2.2950287|0.0|89.0|7.386582|2003-03-27T05:00:00.000+01:00|2003-03-27
20030327T0600|2.9150288|0.0|85.0|7.127636|2003-03-27T06:00:00.000+01:00|2003-03-27
20030327T0700|6.965029|0.0|76.0|5.6002855|2003-03-27T07:00:00.000+01:00|2003-03-27
20030327T0800|11.005029|0.0|64.0|5.6233797|2003-03-27T08:00:00.000+01:00|2003-03-27
20030327T0900|13.805029|0.0|56.0|5.6233797|2003-03-27T09:00:00.000+01:00|2003-03-27
20030327T1000|15.675029|0.0|49.0|5.1165614|2003-03-27T10:00:00.000+01:00|2003-03-27
20030327T1100|16.975029|0.0|46.0|4.8433046|2003-03-27T11:00:00.000+01:00|2003-03-27
20030327T1200|17.825027|0.0|43.0|4.829907|2003-03-27T12:00:00.000+01:00|2003-03-27
20030327T1300|18.355028|0.0|42.0|5.0911684|2003-03-27T13:00:00.000+01:00|2003-03-27
