Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
20010520T1300|21.025028|0.0|60.0|17.826363|2001-05-20T13:00:00.000+02:00|2001-05-20
20010520T1400|21.455029|0.0|60.0|19.881649|2001-05-20T14:00:00.000+02:00|2001-05-20
20010520T1500|21.645027|0.0|58.0|21.166653|2001-05-20T15:00:00.000+02:00|2001-05-20
20010520T1600|21.455029|0.0|60.0|21.94524|2001-05-20T16:00:00.000+02:00|2001-05-20
20010520T1700|20.925028|0.0|63.0|21.710716|2001-05-20T17:00:00.000+02:00|2001-05-20
20010520T1800|19.595028|0.0|68.0|20.12461|2001-05-20T18:00:00.000+02:00|2001-05-20
20010520T1900|16.215029|0.0|82.0|14.773164|2001-05-20T19:00:00.000+02:00|2001-05-20
20010520T2000|13.515029|0.0|88.0|12.538134|2001-05-20T20:00:00.000+02:00|2001-05-20
20010520T2100|11.825029|0.0|92.0|11.525623|2001-05-20T21:00:00.000+02:00|2001-05-20
20010520T2200|10.445029|0.0|94.0|10.97262|2001-05-20T22:00:00.000+02:00|2001-05-20
20010520T2300|9.315029|0.0|95.0|10.195057|2001-05-20T23:00:00.000+02:00|2001-05-20
20010521T0000|8.375029|0.0|96.0|9.686609|2001-05-21T00:00:00.000+02:00|2001-05-21
20010521T0100|7.5850286|0.0|96.0|9.178235|2001-05-21T01:00:00.000+02:00|2001-05-21
20010521T0200|6.965029|0.0|96.0|8.714677|2001-05-21T02:00:00.000+02:00|2001-05-21
20010521T0300|6.4150286|0.0|97.0|7.9932966|2001-05-21T03:00:00.000+02:00|2001-05-21
20010521T0400|6.0050287|0.0|98.0|7.491114|2001-05-21T04:00:00.000+02:00|2001-05-21
20010521T0500|8.505029|0.0|91.0|6.792466|2001-05-21T05:00:00.000+02:00|2001-05-21
20010521T0600|12.185029|0.0|86.0|9.885262|2001-05-21T06:00:00.000+02:00|2001-05-21
20010521T0700|15.055029|0.0|78.0|12.475961|2001-05-21T07:00:00.000+02:00|2001-05-21
20010521T0800|17.675028|0.0|71.0|14.565548|2001-05-21T08:00:00.000+02:00|2001-05-21
20010521T0900|19.285028|0.0|67.0|16.641972|2001-05-21T09:00:00.000+02:00|2001-05-21
20010521T1000|20.575027|0.0|65.0|21.817902|2001-05-21T10:00:00.000+02:00|2001-05-21
20010521T1100|21.525028|0.0|61.0|24.192429|2001-05-21T11:00:00.000+02:00|2001-05-21
20010521T1200|22.215029|0.0|57.0|25.277023|2001-05-21T12:00:00.000+02:00|2001-05-21
20010521T1300|22.685028|0.0|55.0|25.488914|2001-05-21T13:00:00.000+02:00|2001-05-21
20010521T1400|22.865028|0.0|53.0|25.7041|2001-05-21T14:00:00.000+02:00|2001-05-21
20010521T1500|22.615028|0.0|54.0|25.41763|2001-05-21T15:00:00.000+02:00|2001-05-21
20010521T1600|22.075027|0.0|57.0|25.02971|2001-05-21T16:00:00.000+02:00|2001-05-21
20010521T1700|21.465029|0.0|61.0|23.166216|2001-05-21T17:00:00.000+02:00|2001-05-21
20010521T1800|20.605028|0.0|65.0|20.466246|2001-05-21T18:00:00.000+02:00|2001-05-21
20010521T1900|17.39503|0.0|78.0|15.03835|2001-05-21T19:00:00.000+02:00|2001-05-21
20010521T2000|14.635029|0.0|85.0|12.682018|2001-05-21T20:00:00.000+02:00|2001-05-21
20010521T2100|12.905029|0.0|90.0|12.24|2001-05-21T21:00:00.000+02:00|2001-05-21
20010521T2200|11.585029|0.0|93.0|11.609651|2001-05-21T22:00:00.000+02:00|2001-05-21
20010521T2300|10.595029|0.0|95.0|10.144082|2001-05-21T23:00:00.000+02:00|2001-05-21
20010522T0000|9.785029|0.0|97.0|9.178235|2001-05-22T00:00:00.000+02:00|2001-05-22
20010522T0100|9.145029|0.0|98.0|9.178235|2001-05-22T01:00:00.000+02:00|2001-05-22
20010522T0200|9.355029|0.0|97.0|7.8954163|2001-05-22T02:00:00.000+02:00|2001-05-22
20010522T0300|9.635029|0.0|96.0|7.5685663|2001-05-22T03:00:00.000+02:00|2001-05-22
20010522T0400|9.545029|0.0|96.0|6.9247384|2001-05-22T04:00:00.000+02:00|2001-05-22
20010522T0500|10.255029|0.0|95.0|6.439876|2001-05-22T05:00:00.000+02:00|2001-05-22
20010522T0600|12.095029|0.0|90.0|7.24486|2001-05-22T06:00:00.000+02:00|2001-05-22
20010522T0700|14.365029|0.0|85.0|8.39657|2001-05-22T07:00:00.000+02:00|2001-05-22
20010522T0800|16.445028|0.0|81.0|9.885262|2001-05-22T08:00:00.000+02:00|2001-05-22
20010522T0900|18.455029|0.0|76.0|12.096214|2001-05-22T09:00:00.000+02:00|2001-05-22
20010522T1000|20.125029|0.0|70.0|15.03835|2001-05-22T10:00:00.000+02:00|2001-05-22
20010522T1100|21.235027|0.0|64.0|19.107151|2001-05-22T11:00:00.000+02:00|2001-05-22
20010522T1200|21.895027|0.0|60.0|20.929594|2001-05-22T12:00:00.000+02:00|2001-05-22
20010522T1300|22.345028|0.0|60.0|21.203358|2001-05-22T13:00:00.000+02:00|2001-05-22
20010522T1400|22.415028|0.0|57.0|21.758419|2001-05-22T14:00:00.000+02:00|2001-05-22
20010522T1500|22.245028|0.0|57.0|21.203358|2001-05-22T15:00:00.000+02:00|2001-05-22
20010522T1600|21.185028|0.0|59.0|21.437386|2001-05-22T16:00:00.000+02:00|2001-05-22
20010522T1700|20.935028|0.0|61.0|21.710716|2001-05-22T17:00:00.000+02:00|2001-05-22
20010522T1800|19.945028|0.0|66.0|20.12461|2001-05-22T18:00:00.000+02:00|2001-05-22
20010522T1900|17.585028|0.0|76.0|15.281989|2001-05-22T19:00:00.000+02:00|2001-05-22
20010522T2000|17.375029|0.0|75.0|12.261157|2001-05-22T20:00:00.000+02:00|2001-05-22
20010522T2100|14.975029|0.0|83.0|11.212135|2001-05-22T21:00:00.000+02:00|2001-05-22
20010522T2200|12.9550295|0.0|88.0|10.464797|2001-05-22T22:00:00.000+02:00|2001-05-22
20010522T2300|11.685029|0.0|91.0|9.504272|2001-05-22T23:00:00.000+02:00|2001-05-22
20010523T0000|10.675029|0.0|93.0|8.435069|2001-05-23T00:00:00.000+02:00|2001-05-23
20010523T0100|9.815029|0.0|94.0|7.8954163|2001-05-23T01:00:00.000+02:00|2001-05-23
20010523T0200|9.055029|0.0|95.0|7.386582|2001-05-23T02:00:00.000+02:00|2001-05-23
20010523T0300|8.395029|0.0|100.0|6.696387|2001-05-23T03:00:00.000+02:00|2001-05-23
20010523T0400|8.485029|0.0|97.0|5.95906|2001-05-23T04:00:00.000+02:00|2001-05-23
20010523T0500|10.175029|0.0|92.0|3.8773184|2001-05-23T05:00:00.000+02:00|2001-05-23
20010523T0600|12.775029|0.0|88.0|5.95906|2001-05-23T06:00:00.000+02:00|2001-05-23
20010523T0700|15.555029|0.0|80.0|6.439876|2001-05-23T07:00:00.000+02:00|2001-05-23
20010523T0800|17.485027|0.0|76.0|6.9247384|2001-05-23T08:00:00.000+02:00|2001-05-23
20010523T0900|19.145027|0.0|73.0|7.9036193|2001-05-23T09:00:00.000+02:00|2001-05-23
20010523T1000|20.575027|0.0|70.0|8.587338|2001-05-23T10:00:00.000+02:00|2001-05-23
20010523T1100|21.715029|0.0|67.0|8.891343|2001-05-23T11:00:00.000+02:00|2001-05-23
20010523T1200|22.475029|0.0|64.0|9.19939|2001-05-23T12:00:00.000+02:00|2001-05-23
20010523T1300|23.015028|0.0|62.0|9.339208|2001-05-23T13:00:00.000+02:00|2001-05-23
20010523T1400|22.715029|0.0|63.0|8.557102|2001-05-23T14:00:00.000+02:00|2001-05-23
20010523T1500|22.465029|0.2|65.0|7.5170207|2001-05-23T15:00:00.000+02:00|2001-05-23
