Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
19920616T0600|11.835029|0.0|90.0|6.830519|1992-06-16T06:00:00.000+02:00|1992-06-16
19920616T0700|14.505029|0.0|84.0|6.130579|1992-06-16T07:00:00.000+02:00|1992-06-16
19920616T0800|17.545029|0.0|76.0|7.69592|1992-06-16T08:00:00.000+02:00|1992-06-16
19920616T0900|20.165028|0.0|71.0|9.693296|1992-06-16T09:00:00.000+02:00|1992-06-16
19920616T1000|22.045029|0.0|63.0|12.10157|1992-06-16T10:00:00.000+02:00|1992-06-16
19920616T1100|23.445028|0.0|58.0|14.578888|1992-06-16T11:00:00.000+02:00|1992-06-16
19920616T1200|24.375029|0.0|55.0|17.533146|1992-06-16T12:00:00.000+02:00|1992-06-16
19920616T1300|24.995028|0.0|53.0|19.469975|1992-06-16T13:00:00.000+02:00|1992-06-16
19920616T1400|25.195028|0.0|52.0|20.833395|1992-06-16T14:00:00.000+02:00|1992-06-16
19920616T1500|25.045029|0.0|54.0|21.288757|1992-06-16T15:00:00.000+02:00|1992-06-16
19920616T1600|24.535028|0.0|58.0|20.60823|1992-06-16T16:00:00.000+02:00|1992-06-16
19920616T1700|23.745028|0.0|62.0|18.11841|1992-06-16T17:00:00.000+02:00|1992-06-16
19920616T1800|21.465029|0.0|76.0|11.770403|1992-06-16T18:00:00.000+02:00|1992-06-16
19920616T1900|20.015028|0.0|83.0|7.0911775|1992-06-16T19:00:00.000+02:00|1992-06-16
19920616T2000|18.265028|0.0|90.0|6.28713|1992-06-16T20:00:00.000+02:00|1992-06-16
19920616T2100|17.305029|0.0|93.0|5.815978|1992-06-16T21:00:00.000+02:00|1992-06-16
19920616T2200|16.445028|0.0|95.0|5.815978|1992-06-16T22:00:00.000+02:00|1992-06-16
19920616T2300|15.725029|0.0|97.0|6.12|1992-06-16T23:00:00.000+02:00|1992-06-16
19920617T0000|14.935029|0.0|98.0|6.989936|1992-06-17T00:00:00.000+02:00|1992-06-17
19920617T0100|14.7050295|0.0|97.0|8.209263|1992-06-17T01:00:00.000+02:00|1992-06-17
19920617T0200|14.765029|0.0|97.0|9.422101|1992-06-17T02:00:00.000+02:00|1992-06-17
19920617T0300|14.815029|0.0|97.0|10.691453|1992-06-17T03:00:00.000+02:00|1992-06-17
19920617T0400|14.935029|0.0|96.0|10.948973|1992-06-17T04:00:00.000+02:00|1992-06-17
19920617T0500|15.465029|0.0|95.0|12.229406|1992-06-17T05:00:00.000+02:00|1992-06-17
19920617T0600|16.515028|0.0|92.0|14.255272|1992-06-17T06:00:00.000+02:00|1992-06-17
19920617T0700|18.185028|0.0|87.0|16.299694|1992-06-17T07:00:00.000+02:00|1992-06-17
19920617T0800|19.225029|0.0|83.0|16.800856|1992-06-17T08:00:00.000+02:00|1992-06-17
19920617T0900|19.985027|0.0|79.0|18.59845|1992-06-17T09:00:00.000+02:00|1992-06-17
19920617T1000|20.825027|0.0|76.0|22.148046|1992-06-17T10:00:00.000+02:00|1992-06-17
19920617T1100|20.805029|0.2|78.0|23.424908|1992-06-17T11:00:00.000+02:00|1992-06-17
19920617T1200|20.585028|0.4|81.0|24.195107|1992-06-17T12:00:00.000+02:00|1992-06-17
19920617T1300|20.345028|0.5|84.0|25.476198|1992-06-17T13:00:00.000+02:00|1992-06-17
19920617T1400|20.005028|0.6|86.0|25.537172|1992-06-17T14:00:00.000+02:00|1992-06-17
19920617T1500|20.105028|0.5|84.0|25.862436|1992-06-17T15:00:00.000+02:00|1992-06-17
19920617T1600|20.045029|0.3|83.0|25.133053|1992-06-17T16:00:00.000+02:00|1992-06-17
19920617T1700|19.905027|0.2|82.0|23.4|1992-06-17T17:00:00.000+02:00|1992-06-17
19920617T1800|20.365028|0.0|73.0|19.881649|1992-06-17T18:00:00.000+02:00|1992-06-17
19920617T1900|18.985027|0.0|78.0|15.580141|1992-06-17T19:00:00.000+02:00|1992-06-17
19920617T2000|16.035028|0.0|87.0|12.387348|1992-06-17T20:00:00.000+02:00|1992-06-17
19920617T2100|14.545029|0.0|91.0|11.384198|1992-06-17T21:00:00.000+02:00|1992-06-17
19920617T2200|13.315029|0.0|92.0|10.383987|1992-06-17T22:00:00.000+02:00|1992-06-17
19920617T2300|12.415029|0.0|93.0|9.19939|1992-06-17T23:00:00.000+02:00|1992-06-17
19920618T0000|11.345029|0.0|95.0|9.021574|1992-06-18T00:00:00.000+02:00|1992-06-18
19920618T0100|10.515029|0.0|95.0|8.217153|1992-06-18T01:00:00.000+02:00|1992-06-18
19920618T0200|9.7050295|0.0|96.0|7.42159|1992-06-18T02:00:00.000+02:00|1992-06-18
19920618T0300|9.005029|0.0|96.0|7.289444|1992-06-18T03:00:00.000+02:00|1992-06-18
19920618T0400|8.635029|0.0|97.0|6.6185193|1992-06-18T04:00:00.000+02:00|1992-06-18
19920618T0500|11.225029|0.0|91.0|6.0347|1992-06-18T05:00:00.000+02:00|1992-06-18
19920618T0600|14.395029|0.0|86.0|9.021574|1992-06-18T06:00:00.000+02:00|1992-06-18
19920618T0700|17.355028|0.0|78.0|11.525623|1992-06-18T07:00:00.000+02:00|1992-06-18
19920618T0800|19.175028|0.0|73.0|13.237038|1992-06-18T08:00:00.000+02:00|1992-06-18
19920618T0900|20.385029|0.0|66.0|15.782622|1992-06-18T09:00:00.000+02:00|1992-06-18
19920618T1000|21.265028|0.0|64.0|15.580141|1992-06-18T10:00:00.000+02:00|1992-06-18
19920618T1100|21.945028|0.0|60.0|16.279802|1992-06-18T11:00:00.000+02:00|1992-06-18
19920618T1200|22.285028|0.0|59.0|16.263872|1992-06-18T12:00:00.000+02:00|1992-06-18
19920618T1300|21.105028|0.0|61.0|16.45007|1992-06-18T13:00:00.000+02:00|1992-06-18
19920618T1400|20.985027|0.2|63.0|16.981165|1992-06-18T14:00:00.000+02:00|1992-06-18
19920618T1500|20.435028|0.4|67.0|16.055353|1992-06-18T15:00:00.000+02:00|1992-06-18
19920618T1600|19.985027|0.3|70.0|15.596767|1992-06-18T16:00:00.000+02:00|1992-06-18
19920618T1700|19.155027|0.4|78.0|14.458382|1992-06-18T17:00:00.000+02:00|1992-06-18
19920618T1800|19.115028|0.0|61.0|9.826088|1992-06-18T18:00:00.000+02:00|1992-06-18
19920618T1900|18.325027|0.0|69.0|7.5599995|1992-06-18T19:00:00.000+02:00|1992-06-18
19920618T2000|17.005028|0.0|73.0|7.9526596|1992-06-18T20:00:00.000+02:00|1992-06-18
19920618T2100|16.31503|0.0|77.0|8.707238|1992-06-18T21:00:00.000+02:00|1992-06-18
19920618T2200|16.06503|0.0|78.0|10.308831|1992-06-18T22:00:00.000+02:00|1992-06-18
19920618T2300|15.795029|0.0|74.0|12.0694|1992-06-18T23:00:00.000+02:00|1992-06-18
19920619T0000|14.045029|0.0|83.0|12.72283|1992-06-19T00:00:00.000+02:00|1992-06-19
19920619T0100|12.635029|0.4|92.0|13.53236|1992-06-19T01:00:00.000+02:00|1992-06-19
19920619T0200|11.7050295|0.3|96.0|13.18308|1992-06-19T02:00:00.000+02:00|1992-06-19
19920619T0300|10.855029|0.2|95.0|13.18308|1992-06-19T03:00:00.000+02:00|1992-06-19
19920619T0400|9.995029|0.3|95.0|13.18308|1992-06-19T04:00:00.000+02:00|1992-06-19
19920619T0500|9.535029|0.2|94.0|13.281023|1992-06-19T05:00:00.000+02:00|1992-06-19
19920619T0600|9.325028|0.2|94.0|12.682018|1992-06-19T06:00:00.000+02:00|1992-06-19
19920619T0700|9.345029|0.2|94.0|12.599998|1992-06-19T07:00:00.000+02:00|1992-06-19
19920619T0800|9.565029|0.2|94.0|12.313894|1992-06-19T08:00:00.000+02:00|1992-06-19
19920619T0900|9.975029|0.5|94.0|11.720751|1992-06-19T09:00:00.000+02:00|1992-06-19
19920619T1000|10.355029|0.4|93.0|11.212135|1992-06-19T10:00:00.000+02:00|1992-06-19
19920619T1100|10.865029|0.5|91.0|10.799999|1992-06-19T11:00:00.000+02:00|1992-06-19
19920619T1200|10.915029|1.0|91.0|10.383987|1992-06-19T12:00:00.000+02:00|1992-06-19
19920619T1300|11.035029|0.9|88.0|10.315115|1992-06-19T13:00:00.000+02:00|1992-06-19
19920619T1400|11.215029|0.7|87.0|9.339208|1992-06-19T14:00:00.000+02:00|1992-06-19
19920619T1500|11.275029|0.5|86.0|8.854829|1992-06-19T15:00:00.000+02:00|1992-06-19
19920619T1600|11.155029|0.6|87.0|7.8954163|1992-06-19T16:00:00.000+02:00|1992-06-19
19920619T1700|10.845029|0.8|89.0|6.28713|1992-06-19T17:00:00.000+02:00|1992-06-19
19920619T1800|12.095029|0.4|88.0|7.9932976|1992-06-19T18:00:00.000+02:00|1992-06-19
19920619T1900|11.575029|0.8|93.0|5.4833565|1992-06-19T19:00:00.000+02:00|1992-06-19
19920619T2000|10.795029|0.9|97.0|5.1165614|1992-06-19T20:00:00.000+02:00|1992-06-19
19920619T2100|10.545029|0.7|98.0|5.1165614|1992-06-19T21:00:00.000+02:00|1992-06-19
19920619T2200|10.625029|0.4|98.0|5.1919937|1992-06-19T22:00:00.000+02:00|1992-06-19
19920619T2300|10.535029|0.1|97.0|4.6938257|1992-06-19T23:00:00.000+02:00|1992-06-19
19920620T0000|10.495029|0.1|97.0|4.0249224|1992-06-20T00:00:00.000+02:00|1992-06-20
19920620T0100|10.485029|0.2|97.0|2.968636|1992-06-20T01:00:00.000+02:00|1992-06-20
