Day|MaxT|MinT|AvgT|MaxWind|AvgWind|MaxRain|MinRain|AvgRain|MaxHU|MinHU|AvgHU
1992-04-22|18.715029|6.2050285|13.080445528030396|36.2243|19.045817414919537|0.0|0.0|0.0|100.0|55.0|80.33333333333333
1992-04-23|17.15503|8.425029|12.62877893447876|28.202042|14.615775391459465|0.0|0.0|0.0|100.0|55.0|79.875
1992-04-24|24.355028|7.555029|15.137945175170898|27.381306|12.741964101791382|0.0|0.0|0.0|100.0|50.0|79.29166666666667
1992-04-25|23.925028|7.1150284|15.91502845287323|35.309372|17.875296870867412|0.0|0.0|0.0|100.0|45.0|82.04166666666667
1992-04-26|21.585028|12.605029|17.335861921310425|21.9718|12.965028961499533|0.2|0.0|0.033333333830038704|100.0|57.0|79.58333333333333
1992-04-27|16.07503|9.545029|14.044612367947897|21.794127|13.39744347333908|1.2|0.0|0.2833333381762107|99.0|78.0|87.70833333333333
1992-04-28|18.195028|3.9050288|11.25502896308899|41.33734|18.298828840255737|3.4|0.0|0.44583333811412257|100.0|68.0|91.95833333333333
1992-04-29|10.255029|5.055029|7.371695478757222|33.927967|17.075984458128612|0.2|0.0|0.016666666915019352|100.0|60.0|83.20833333333333
1992-04-30|17.935028|5.2450285|11.157945394515991|9.028754|5.211513817310333|0.0|0.0|0.0|98.0|45.0|74.41666666666667
1992-05-01|18.295029|3.6450288|10.987528830766678|27.276978|15.485689878463745|1.4|0.0|0.28333333258827526|100.0|44.0|79.75
1992-05-02|9.735029|6.645029|8.685862104098002|16.516901|10.355009943246841|2.0|0.3|1.0333333450059097|100.0|84.0|94.41666666666667
1992-05-03|11.785029|6.485029|9.371278921763102|25.364037|16.638420522212982|0.4|0.0|0.1000000024214387|100.0|81.0|92.66666666666667
1992-05-04|18.685028|6.185029|11.443362156550089|37.30302|22.406682809193928|0.0|0.0|0.0|100.0|55.0|82.79166666666667
1992-05-05|18.055029|4.825029|12.064195454120636|15.815435|9.54219768444697|0.2|0.0|0.016666666915019352|100.0|54.0|79.375
1992-05-06|16.705029|10.085029|13.312945564587912|21.068459|12.354241053263346|0.0|0.0|0.0|100.0|64.0|85.625
1992-05-07|21.055029|9.925029|16.366695165634155|11.298495|5.030111475537221|0.0|0.0|0.0|100.0|48.0|74.58333333333333
1992-05-08|20.145027|10.335029|15.38002852598826|38.268524|21.199773748715717|0.0|0.0|0.0|100.0|53.0|75.5
1992-05-09|17.31503|10.875029|13.497945626576742|34.94968|19.464694440364838|0.0|0.0|0.0|94.0|55.0|76.04166666666667
1992-05-10|16.39503|10.4550295|13.291278998057047|41.82512|25.361025273799896|0.0|0.0|0.0|93.0|56.0|76.58333333333333
1992-05-11|14.805029|5.6150284|11.504612247149149|57.560608|30.319655855496723|1.7|0.0|0.27916667113701504|100.0|61.0|85.375
1992-05-12|22.215029|3.9150288|14.483361770709356|11.5199995|6.695044726133347|0.0|0.0|0.0|99.0|38.0|67.0
1992-05-13|24.495028|7.525029|17.465861876805622|14.372974|7.959521373112996|0.0|0.0|0.0|100.0|44.0|77.20833333333333
1992-05-14|27.575027|7.925029|17.798361937204998|12.245293|8.878299176692963|0.0|0.0|0.0|100.0|50.0|79.95833333333333
1992-05-15|27.075027|6.5850286|16.018778562545776|11.269782|9.225284198919931|0.0|0.0|0.0|99.0|50.0|77.20833333333333
1992-05-16|24.105028|6.3650284|16.930861711502075|19.576189|11.493957976500193|0.0|0.0|0.0|96.0|54.0|75.54166666666667
1992-05-17|22.315027|12.775029|17.028361876805622|18.892282|11.580555498600006|0.0|0.0|0.0|100.0|64.0|85.75
1992-05-18|20.515028|7.135029|14.91627868016561|36.08091|20.28910591204961|0.0|0.0|0.0|99.0|51.0|75.08333333333333
1992-05-19|21.385029|3.055029|13.059195339679718|33.532215|19.455185294151306|0.0|0.0|0.0|100.0|55.0|72.70833333333333
1992-05-20|21.225029|5.6550283|13.740028619766235|13.363711|8.868597388267517|0.0|0.0|0.0|100.0|47.0|72.0
1992-05-21|18.575027|5.0250287|13.640028496583303|9.793058|5.655574704209964|0.2|0.0|0.012500000186264515|99.0|48.0|68.91666666666667
1992-05-22|21.485027|6.935029|15.217111825942993|13.363711|7.011957074205081|0.0|0.0|0.0|100.0|46.0|72.54166666666667
1992-05-23|22.865028|7.9950285|16.5058616399765|10.086427|5.857671280701955|0.0|0.0|0.0|100.0|46.0|70.66666666666667
1992-05-24|22.785028|9.935029|17.41836190223694|9.178235|5.009600480397542|0.1|0.0|0.004166666728754838|100.0|52.0|72.95833333333333
1992-05-25|21.005028|11.505029|17.39211181799571|9.511088|4.667997732758522|0.2|0.0|0.020833333643774193|100.0|62.0|76.54166666666667
1992-05-26|22.065027|12.415029|17.191695133845013|12.522619|6.2767078677813215|0.2|0.0|0.012500000186264515|100.0|59.0|82.5
1992-05-27|22.515028|11.255029|16.947528799374897|10.1376915|6.53695531686147|0.9|0.0|0.06666666610787313|100.0|61.0|82.16666666666667
1992-05-28|24.335028|9.215029|17.757111589113872|16.23596|9.836181620756784|0.0|0.0|0.0|100.0|47.0|75.41666666666667
1992-05-29|21.925028|13.195029|17.926695148150127|11.183201|6.021212736765544|0.1|0.0|0.008333333457509676|100.0|62.0|82.45833333333333
1992-05-30|25.515028|13.475029|18.73294500509898|13.089354|5.30006675918897|0.5|0.0|0.037500000248352684|100.0|50.0|80.83333333333333
1992-05-31|29.905027|12.075029|19.75169499715169|6.489992|4.650106380383174|0.0|0.0|0.0|99.0|53.0|76.875
1992-06-01|22.275028|14.875029|18.616278131802876|7.8625183|5.232033575574557|1.1|0.0|0.11666666809469461|100.0|58.0|84.70833333333333
1992-06-02|20.075027|11.905029|16.505861798922222|14.182355|9.074369738499323|1.6|0.0|0.31666666828095913|98.0|73.0|91.25
1992-06-03|17.655027|12.005029|15.002112110455831|10.829959|5.261812789986531|1.0|0.0|0.13333333314706883|100.0|82.0|91.33333333333333
1992-06-04|23.435028|12.605029|16.336278756459553|15.379206|8.158913103242716|2.9|0.0|0.441666672937572|100.0|56.0|87.75
1992-06-05|17.14503|11.145029|12.971695701281229|12.641076|9.67894423007965|3.3|0.0|1.0166666613270838|100.0|73.0|93.20833333333333
1992-06-06|18.255028|10.225029|13.327112237612406|10.805998|8.367920537789663|1.5|0.0|0.27916667082657415|100.0|64.0|86.58333333333333
1992-06-07|23.835028|8.865028|16.17169503370921|12.413476|6.267917707562447|0.2|0.0|0.008333333457509676|100.0|46.0|75.83333333333333
1992-06-08|21.365028|10.355029|14.843778769175211|13.441071|6.418060394624869|0.5|0.0|0.0541666674738129|100.0|57.0|84.66666666666667
1992-06-09|17.125029|11.245029|14.229195515314737|22.682856|11.898683304588|0.6|0.0|0.1291666698331634|100.0|75.0|90.04166666666667
1992-06-10|21.225029|10.225029|15.866695443789164|11.609651|6.800954659779866|0.4|0.0|0.054166667784253754|100.0|57.0|84.70833333333333
1992-06-11|22.085028|11.365029|15.841695308685303|10.44|6.570336997509003|0.5|0.0|0.14583333550641933|100.0|53.0|81.08333333333333
