Date|MaxT|MinT|AvgT|MaxWind|AvgWind|MaxRain|MinRain|AvgRain|MaxHU|MinHU|AvgHU|Year|Month|ExtremeDay
2020-06-03|24.57053|15.570529|19.396778|15.137133|7.8478055|2.9|0.0|0.19166668|90.0|41.0|63.833332|2020|6|1.0
2020-06-04|17.680529|13.200529|15.954696|21.986542|12.775566|6.2|0.0|0.6|96.0|64.0|78.791664|2020|6|1.0
2020-06-05|17.780529|10.580529|14.679696|35.127216|24.382132|0.4|0.0|0.020833334|88.0|46.0|67.583336|2020|6|0.0
2020-06-06|19.430529|13.220529|16.032196|30.21642|18.514408|0.7|0.0|0.175|84.0|55.0|71.583336|2020|6|0.0
2020-06-07|18.30053|11.860529|14.514696|12.599999|7.163404|1.1|0.0|0.13333333|88.0|47.0|69.083336|2020|6|0.0
2020-06-08|18.37053|11.600529|14.861362|20.907913|10.792358|0.6|0.0|0.108333334|83.0|54.0|67.833336|2020|6|0.0
2020-06-09|15.410529|10.880529|13.622195|21.647945|14.331375|1.0|0.0|0.32916668|93.0|79.0|85.625|2020|6|0.0
2020-06-10|16.63053|12.330529|14.493862|17.87718|13.248198|0.8|0.0|0.17083333|96.0|73.0|85.708336|2020|6|0.0
2020-06-11|21.100529|12.400529|16.646362|13.004921|8.79739|0.3|0.0|0.016666668|93.0|52.0|73.208336|2020|6|0.0
2020-06-12|26.87053|11.540529|19.803028|21.407139|11.607977|0.0|0.0|0.0|85.0|35.0|59.291668|2020|6|0.0
2020-06-13|21.87053|14.180529|17.305946|23.143827|11.10446|3.2|0.0|0.4875|91.0|56.0|76.875|2020|6|1.0
2020-06-14|20.37053|13.820529|16.789696|22.3229|16.100033|2.3|0.0|0.5333333|92.0|61.0|77.125|2020|6|1.0
2020-06-15|20.740528|14.200529|17.865112|18.59845|12.271664|0.0|0.0|0.0|81.0|54.0|65.708336|2020|6|0.0
2020-06-16|20.340528|15.000529|17.680529|11.923557|7.299582|0.1|0.0|0.016666668|83.0|57.0|68.75|2020|6|0.0
2020-06-17|16.580528|12.100529|14.856779|23.623243|10.438227|1.1|0.0|0.26666668|91.0|78.0|85.083336|2020|6|0.0
2020-06-18|20.680529|9.5505295|15.589696|14.471821|9.723675|0.1|0.0|0.004166667|87.0|52.0|68.666664|2020|6|0.0
2020-06-19|19.770529|11.470529|16.321362|16.199999|8.554101|0.1|0.0|0.008333334|82.0|55.0|66.583336|2020|6|0.0
2020-06-20|22.670528|11.790529|17.828863|11.269782|6.020151|0.0|0.0|0.0|80.0|44.0|62.666668|2020|6|0.0
2020-06-21|24.100529|15.130529|19.910946|12.904882|6.2386484|0.0|0.0|0.0|76.0|45.0|60.166668|2020|6|0.0
2020-06-22|24.32053|16.420528|20.158445|15.937878|7.936732|0.0|0.0|0.0|81.0|50.0|67.0|2020|6|0.0
2020-06-23|28.06053|13.760529|21.328863|15.5843|8.939424|0.0|0.0|0.0|87.0|39.0|62.333332|2020|6|0.0
2020-06-24|28.940529|13.380529|21.986362|19.09358|11.230896|0.0|0.0|0.0|84.0|34.0|56.375|2020|6|0.0
2020-06-25|28.73053|14.870529|22.922195|16.946787|9.317362|0.0|0.0|0.0|76.0|38.0|53.916668|2020|6|0.0
2020-06-26|28.750528|18.95053|23.745945|27.25559|11.377927|0.1|0.0|0.004166667|91.0|44.0|66.125|2020|6|0.0
2020-06-27|28.89053|19.530529|24.437613|12.9249525|8.20214|0.6|0.0|0.0625|86.0|42.0|60.208332|2020|6|0.0
2020-06-28|24.81053|17.39053|21.03678|19.35314|11.348442|0.5|0.0|0.058333334|81.0|52.0|67.416664|2020|6|0.0
2020-06-29|22.170528|16.20053|19.08803|24.933735|15.004745|2.6|0.0|0.16666666|90.0|52.0|68.5|2020|6|1.0
2020-06-30|24.830528|11.690529|19.61678|18.089775|9.91703|0.0|0.0|0.0|79.0|44.0|61.25|2020|6|0.0
2020-07-01|29.420528|17.740528|23.439695|18.03237|8.478028|0.5|0.0|0.025|79.0|40.0|61.708332|2020|7|0.0
2020-07-02|22.910528|18.160528|20.593029|23.73271|12.806488|0.2|0.0|0.0125|85.0|57.0|69.25|2020|7|0.0
2020-07-03|22.420528|14.960529|19.090528|15.034041|7.9707246|0.0|0.0|0.0|75.0|47.0|59.5|2020|7|0.0
2020-07-04|25.04053|13.650529|20.038446|16.394829|9.60831|0.0|0.0|0.0|77.0|43.0|59.25|2020|7|0.0
2020-07-05|26.30053|15.070529|21.807611|26.183659|14.442035|0.0|0.0|0.0|74.0|49.0|64.083336|2020|7|0.0
2020-07-06|21.32053|12.980529|18.184696|24.066206|15.674851|0.3|0.0|0.020833334|83.0|40.0|62.5|2020|7|0.0
2020-07-07|23.030529|11.810529|17.94678|14.24163|7.0638967|0.0|0.0|0.0|74.0|35.0|55.25|2020|7|0.0
2020-07-08|26.110529|13.390529|20.65428|17.654686|8.981649|0.0|0.0|0.0|69.0|34.0|52.958332|2020|7|0.0
2020-07-09|29.97053|17.350529|24.390112|13.084402|7.0473194|0.0|0.0|0.0|71.0|41.0|52.791668|2020|7|0.0
2020-07-10|28.15053|17.000528|23.121778|28.08923|14.637354|0.5|0.0|0.125|84.0|47.0|59.625|2020|7|0.0
2020-07-11|21.30053|14.280529|17.40428|18.430452|10.037778|2.6|0.0|0.32916665|93.0|50.0|70.125|2020|7|1.0
2020-07-12|25.010529|10.980529|18.611778|17.771753|10.27222|0.0|0.0|0.0|85.0|34.0|56.875|2020|7|0.0
2020-07-13|25.690529|12.310529|19.574696|8.473393|4.6264396|0.0|0.0|0.0|81.0|38.0|57.791668|2020|7|0.0
2020-07-14|24.30053|16.170528|20.533445|14.336861|6.9553046|0.1|0.0|0.0125|80.0|39.0|56.083332|2020|7|0.0
2020-07-15|20.88053|16.14053|18.396362|17.414476|7.8743515|0.5|0.0|0.054166667|85.0|57.0|72.75|2020|7|0.0
2020-07-16|20.360529|15.670529|17.65178|21.915693|13.59817|0.8|0.0|0.075|92.0|61.0|77.291664|2020|7|0.0
2020-07-17|20.80053|14.990529|17.497612|8.4042845|5.0707507|0.1|0.0|0.004166667|92.0|59.0|75.5|2020|7|0.0
2020-07-18|24.940529|12.630529|19.629278|11.212135|7.0183067|0.0|0.0|0.0|82.0|44.0|62.083332|2020|7|0.0
2020-07-19|27.15053|15.710529|22.179695|9.021574|5.3228025|0.0|0.0|0.0|70.0|41.0|55.208332|2020|7|0.0
