Date|MaxT|MinT|AvgT|MaxWind|AvgWind|MaxRain|MinRain|AvgRain|MaxHU|MinHU|AvgHU|Year|Month|ExtremeDay
2007-04-12|22.415028|4.6250286|14.570028|6.638072|4.7803464|0.0|0.0|0.0|100.0|41.0|67.875|2007|4|0.0
2007-04-13|23.695028|6.0350285|15.912112|8.669949|6.475803|0.0|0.0|0.0|91.0|36.0|63.791668|2007|4|0.0
2007-04-14|24.535028|5.7550287|16.67253|11.609651|6.8711696|0.0|0.0|0.0|98.0|37.0|66.666664|2007|4|0.0
2007-04-15|25.375029|7.595029|17.702112|12.599998|6.8835263|0.0|0.0|0.0|100.0|46.0|71.25|2007|4|0.0
2007-04-16|24.505028|10.265029|17.455444|16.375053|7.876813|0.0|0.0|0.0|100.0|40.0|69.291664|2007|4|0.0
2007-04-17|23.795029|9.235029|17.22128|7.24486|4.417574|0.0|0.0|0.0|100.0|35.0|63.458332|2007|4|0.0
2007-04-18|17.955029|6.685029|13.492529|15.509274|11.005995|0.0|0.0|0.0|90.0|47.0|66.708336|2007|4|0.0
2007-04-19|19.145027|5.1650286|12.797945|8.209263|6.2510467|0.0|0.0|0.0|93.0|45.0|65.166664|2007|4|0.0
2007-04-20|20.695028|5.3750286|13.4654455|16.263872|8.785423|0.0|0.0|0.0|100.0|44.0|69.416664|2007|4|0.0
2007-04-21|21.345028|5.435029|13.859195|7.928178|5.5725703|0.0|0.0|0.0|100.0|45.0|69.75|2007|4|0.0
2007-04-22|23.855028|7.345029|16.579613|6.4799995|4.0139275|0.0|0.0|0.0|99.0|40.0|65.5|2007|4|0.0
2007-04-23|24.545029|8.985029|18.183361|9.028754|6.592312|0.0|0.0|0.0|99.0|38.0|61.458332|2007|4|0.0
2007-04-24|24.485027|11.365029|19.100029|8.647496|6.316343|0.0|0.0|0.0|87.0|39.0|59.75|2007|4|0.0
2007-04-25|25.535028|12.085029|19.350029|12.0694|7.515653|0.0|0.0|0.0|89.0|38.0|62.041668|2007|4|0.0
2007-04-26|25.335028|9.975029|18.432112|7.928177|4.8965487|0.0|0.0|0.0|100.0|41.0|67.083336|2007|4|0.0
2007-04-27|23.755028|13.905029|18.748362|6.87779|5.143541|0.0|0.0|0.0|89.0|47.0|67.5|2007|4|0.0
2007-04-28|22.205029|10.725029|17.393362|5.991594|4.6201463|0.0|0.0|0.0|100.0|56.0|73.875|2007|4|0.0
2007-04-29|21.875029|10.655029|17.189611|8.311245|5.0975885|0.4|0.0|0.033333335|100.0|50.0|72.208336|2007|4|0.0
2007-04-30|22.375029|9.655029|16.533361|23.132626|13.389644|0.0|0.0|0.0|100.0|42.0|68.208336|2007|4|0.0
2007-05-01|21.475029|5.2050285|13.567529|22.101183|12.567087|0.0|0.0|0.0|94.0|42.0|64.75|2007|5|0.0
2007-05-02|21.865028|1.8850288|11.698778|21.273533|12.081752|0.5|0.0|0.079166666|93.0|46.0|72.375|2007|5|0.0
