Date|MaxT|MinT|AvgT|MaxWind|AvgWind|MaxRain|MinRain|AvgRain|MaxHU|MinHU|AvgHU|Year|Month|ExtremeDay
2016-03-23|10.020529|-0.17947134|5.3738623|25.40743|11.851696|0.1|0.0|0.004166667|95.0|63.0|78.166664|2016|3|0.0
2016-03-24|11.530529|2.0305285|6.9476123|12.594856|9.3576565|0.0|0.0|0.0|95.0|50.0|71.291664|2016|3|0.0
2016-03-25|10.060529|6.4205284|8.316362|25.721743|16.2025|1.4|0.0|0.083333336|87.0|69.0|75.791664|2016|3|0.0
2016-03-26|16.80053|5.6005287|10.534279|16.263872|10.137989|0.0|0.0|0.0|90.0|41.0|70.666664|2016|3|0.0
2016-03-27|12.500529|4.1405287|9.486779|24.609364|11.318366|0.9|0.0|0.058333334|92.0|52.0|66.458336|2016|3|0.0
2016-03-28|13.970529|2.5105286|9.335529|39.468872|22.73516|0.0|0.0|0.0|94.0|52.0|67.0|2016|3|0.0
2016-03-29|14.5505295|6.8505287|10.613029|32.048088|17.1221|1.9|0.0|0.20416667|95.0|53.0|67.375|2016|3|0.0
2016-03-30|17.850529|9.630529|13.547195|20.418695|11.454949|0.4|0.0|0.054166667|94.0|56.0|73.208336|2016|3|0.0
2016-03-31|22.98053|5.1005287|14.575529|23.675304|14.51498|0.0|0.0|0.0|96.0|41.0|64.958336|2016|3|0.0
2016-04-01|12.210529|7.9805284|9.920113|26.758923|11.804278|0.6|0.0|0.045833334|97.0|63.0|83.25|2016|4|0.0
2016-04-02|20.910528|5.8905287|13.552612|18.671474|11.396236|0.0|0.0|0.0|91.0|54.0|73.75|2016|4|0.0
2016-04-03|20.82053|11.120529|16.319696|16.24394|10.514065|0.0|0.0|0.0|79.0|50.0|66.333336|2016|4|0.0
2016-04-04|17.87053|11.910529|14.758446|12.55879|6.9279118|0.0|0.0|0.0|78.0|59.0|68.666664|2016|4|0.0
2016-04-05|15.360529|10.070529|12.583029|18.837322|7.676933|2.7|0.0|0.35833335|97.0|65.0|83.333336|2016|4|1.0
2016-04-06|15.470529|8.590529|11.673862|16.203999|11.294297|0.7|0.0|0.041666668|94.0|60.0|75.5|2016|4|0.0
2016-04-07|10.780529|6.3005285|8.288029|22.682856|15.1189575|0.1|0.0|0.008333334|87.0|58.0|71.125|2016|4|0.0
2016-04-08|11.260529|5.2705283|8.191779|10.365251|6.1534333|0.1|0.0|0.008333334|89.0|56.0|74.041664|2016|4|0.0
2016-04-09|12.290529|6.1705284|9.819279|13.661038|7.66804|0.3|0.0|0.016666668|84.0|54.0|67.875|2016|4|0.0
2016-04-10|16.89053|5.7405286|11.288029|16.75064|10.184949|0.0|0.0|0.0|83.0|45.0|63.541668|2016|4|0.0
2016-04-11|18.590528|5.7605286|12.673029|11.753877|7.7727633|0.0|0.0|0.0|86.0|49.0|66.583336|2016|4|0.0
2016-04-12|19.250528|8.970529|14.080945|16.418526|7.699079|0.3|0.0|0.045833334|90.0|40.0|64.916664|2016|4|0.0
2016-04-13|14.030529|8.970529|11.537612|22.461807|13.404301|1.2|0.0|0.108333334|94.0|66.0|77.666664|2016|4|0.0
2016-04-14|16.270529|7.5705285|11.656779|18.057508|10.673348|0.2|0.0|0.008333334|89.0|49.0|69.666664|2016|4|0.0
2016-04-15|15.990529|7.9705286|12.271362|24.933735|12.788991|2.2|0.0|0.29583335|93.0|54.0|74.208336|2016|4|1.0
2016-04-16|17.830528|10.170529|13.853446|27.80403|14.402449|1.4|0.0|0.14583333|94.0|49.0|72.375|2016|4|0.0
2016-04-17|14.840529|6.0505285|10.157612|34.411556|18.118013|1.0|0.0|0.12083333|93.0|63.0|81.25|2016|4|0.0
2016-04-18|9.860529|6.0905285|7.6296954|23.224882|11.299005|1.6|0.0|0.27083334|94.0|67.0|82.0|2016|4|0.0
2016-04-19|15.310529|4.6005287|9.545113|13.684735|5.8576903|0.0|0.0|0.0|90.0|47.0|66.875|2016|4|0.0
2016-04-20|18.940529|3.8405285|11.551362|22.42427|13.018806|0.0|0.0|0.0|92.0|44.0|66.083336|2016|4|0.0
2016-04-21|20.690529|4.2805285|13.740946|16.055353|9.503999|0.0|0.0|0.0|88.0|43.0|66.291664|2016|4|0.0
2016-04-22|17.490528|11.310529|14.720112|16.62249|10.208093|0.1|0.0|0.008333334|94.0|65.0|76.0|2016|4|0.0
2016-04-23|14.470529|5.2805285|10.280529|30.248568|12.495328|1.5|0.0|0.38333333|96.0|79.0|87.916664|2016|4|0.0
2016-04-24|9.630529|0.86052865|5.2180285|23.18579|13.851725|2.6|0.0|0.16666666|92.0|43.0|71.625|2016|4|1.0
2016-04-25|9.940529|-0.59947133|5.4505286|38.768173|24.838608|0.2|0.0|0.016666668|89.0|44.0|66.958336|2016|4|0.0
2016-04-26|7.790529|2.7505286|5.8980284|39.658867|25.185274|1.1|0.0|0.27916667|89.0|69.0|79.458336|2016|4|0.0
2016-04-27|8.080529|1.3405286|4.532612|40.192837|25.109076|0.0|0.0|0.0|89.0|49.0|67.666664|2016|4|0.0
2016-04-28|11.780529|2.3905284|7.6688623|17.49615|6.564327|0.0|0.0|0.0|71.0|44.0|53.958332|2016|4|0.0
2016-04-29|14.900529|4.5305285|10.429278|7.42159|3.7292125|0.0|0.0|0.0|76.0|48.0|59.666668|2016|4|0.0
2016-04-30|17.13053|5.5605288|10.788862|26.649727|13.567733|1.8|0.0|0.38750002|94.0|39.0|71.083336|2016|4|0.0
2016-05-01|12.410529|4.8705287|8.243029|23.73271|16.301474|3.1|0.0|0.55|95.0|76.0|87.875|2016|5|1.0
2016-05-02|17.05053|6.540529|12.173446|15.192682|7.892902|0.0|0.0|0.0|97.0|57.0|77.791664|2016|5|0.0
2016-05-03|15.150529|7.2405286|11.820946|20.674158|10.343262|0.5|0.0|0.07083333|80.0|60.0|70.75|2016|5|0.0
