Date|MaxT|MinT|AvgT|MaxWind|AvgWind|MaxRain|MinRain|AvgRain|MaxHU|MinHU|AvgHU|Year|Month|ExtremeDay
1996-04-28|17.855028|11.485029|14.466279|6.849467|5.3743696|1.2|0.0|0.24583334|94.0|70.0|84.916664|1996|4|0.0
1996-04-29|15.325029|11.765029|13.436696|10.703569|7.5167165|0.9|0.0|0.43333334|98.0|83.0|91.916664|1996|4|0.0
1996-04-30|16.515028|10.695029|13.484196|7.208994|4.207448|0.8|0.0|0.2|98.0|63.0|79.541664|1996|4|0.0
1996-05-01|17.625029|10.515029|14.062112|8.557102|4.6718817|0.7|0.0|0.09166667|95.0|54.0|74.375|1996|5|0.0
1996-05-02|17.035028|6.985029|11.620445|10.446206|7.1170607|1.7|0.0|0.5875|97.0|57.0|81.875|1996|5|0.0
1996-05-03|12.415029|5.9150286|9.170862|19.513195|13.678937|1.2|0.0|0.24583334|95.0|62.0|81.375|1996|5|0.0
1996-05-04|12.245029|7.735029|10.042946|17.654688|12.980334|0.2|0.0|0.029166667|94.0|59.0|77.5|1996|5|0.0
1996-05-05|19.505028|7.435029|13.700028|8.049845|5.296411|0.0|0.0|0.0|90.0|46.0|64.75|1996|5|0.0
1996-05-06|20.505028|4.805029|13.986695|6.9247384|5.5577874|0.0|0.0|0.0|100.0|47.0|71.083336|1996|5|0.0
1996-05-07|21.225029|5.9150286|15.547528|6.725354|5.425794|0.0|0.0|0.0|100.0|46.0|71.541664|1996|5|0.0
1996-05-08|18.885029|11.495029|15.488779|8.4042845|4.5583405|0.9|0.0|0.17083333|100.0|60.0|82.5|1996|5|0.0
1996-05-09|12.735029|5.3750286|9.708779|17.811815|13.970421|1.3|0.0|0.44166666|100.0|80.0|91.291664|1996|5|0.0
1996-05-10|13.825029|3.9750288|8.482945|17.555307|11.143817|0.1|0.0|0.016666668|95.0|72.0|86.125|1996|5|0.0
1996-05-11|16.775028|8.805029|12.701279|25.478743|13.465236|0.0|0.0|0.0|100.0|63.0|80.375|1996|5|0.0
1996-05-12|16.015028|9.325028|12.313362|15.856356|9.635104|1.9|0.0|0.6666667|100.0|91.0|95.416664|1996|5|0.0
1996-05-13|13.115029|10.285029|11.396696|10.464797|7.9873714|1.4|0.0|0.4|98.0|92.0|95.541664|1996|5|0.0
1996-05-14|15.535029|9.895029|12.180862|10.883676|5.805263|0.1|0.0|0.016666668|98.0|81.0|92.791664|1996|5|0.0
1996-05-15|15.895029|12.425029|13.994196|9.028754|6.650529|0.2|0.0|0.058333334|98.0|94.0|95.875|1996|5|0.0
1996-05-16|21.015028|10.915029|15.647112|8.311245|6.4221315|0.3|0.0|0.020833334|97.0|64.0|81.333336|1996|5|0.0
1996-05-17|22.595028|9.265029|16.835445|19.881649|8.536033|1.4|0.0|0.079166666|97.0|55.0|79.625|1996|5|0.0
1996-05-18|24.415028|9.9550295|17.319195|10.495713|6.073987|1.0|0.0|0.108333334|100.0|49.0|78.875|1996|5|0.0
1996-05-19|18.825027|9.315029|13.590862|17.309973|7.85198|1.3|0.0|0.41666666|100.0|76.0|89.75|1996|5|0.0
1996-05-20|14.675029|5.975029|10.410862|9.290511|5.743926|0.2|0.0|0.033333335|100.0|59.0|86.958336|1996|5|0.0
1996-05-21|12.895029|3.3650289|9.922529|21.659916|13.081419|0.9|0.0|0.12083333|97.0|67.0|79.958336|1996|5|0.0
1996-05-22|20.395027|5.2950287|13.5054455|10.829959|5.884653|0.0|0.0|0.0|100.0|38.0|64.541664|1996|5|0.0
1996-05-23|18.655027|10.635029|14.091279|24.36325|14.943888|0.4|0.0|0.054166667|100.0|64.0|77.291664|1996|5|0.0
1996-05-24|24.905027|8.045029|17.789194|18.171976|12.870582|0.5|0.0|0.0375|99.0|47.0|73.25|1996|5|0.0
1996-05-25|18.525028|11.435029|14.977529|26.564486|18.457312|3.1|0.0|0.5208333|98.0|76.0|90.125|1996|5|1.0
1996-05-26|16.99503|12.905029|14.597946|21.461555|12.830063|1.2|0.0|0.32916668|97.0|71.0|88.5|1996|5|0.0
1996-05-27|14.075029|11.645029|12.885862|33.033802|26.434784|1.1|0.0|0.4166667|96.0|83.0|88.958336|1996|5|0.0
1996-05-28|13.255029|8.205029|10.286279|20.617662|10.062045|0.4|0.0|0.058333334|97.0|58.0|80.583336|1996|5|0.0
1996-05-29|20.495028|9.165029|15.030862|6.297428|3.315139|0.0|0.0|0.0|84.0|42.0|61.208332|1996|5|0.0
1996-05-30|24.825027|9.085029|18.122946|8.14587|5.829313|0.0|0.0|0.0|100.0|46.0|71.5|1996|5|0.0
1996-05-31|27.355028|9.065029|20.380445|9.021574|6.2720604|0.0|0.0|0.0|96.0|48.0|71.083336|1996|5|0.0
1996-06-01|17.625029|14.545029|15.896695|13.104198|6.214223|2.7|0.0|0.57916665|100.0|86.0|94.625|1996|6|1.0
1996-06-02|19.585028|12.855029|15.582112|18.532133|9.846432|1.9|0.0|0.39583334|98.0|73.0|90.25|1996|6|0.0
1996-06-03|18.235027|12.525029|14.367946|12.181625|7.3143387|0.1|0.0|0.0125|98.0|73.0|90.666664|1996|6|0.0
1996-06-04|20.995028|12.085029|15.618779|16.92383|10.4836645|0.1|0.0|0.008333334|95.0|68.0|84.333336|1996|6|0.0
1996-06-05|25.885029|9.085029|19.022112|9.659814|7.424048|0.0|0.0|0.0|99.0|60.0|79.541664|1996|6|0.0
1996-06-06|27.975029|16.175028|22.635862|6.763786|4.1120257|0.0|0.0|0.0|100.0|51.0|74.625|1996|6|0.0
1996-06-07|28.865028|16.705029|23.763779|6.0347|4.5843625|0.0|0.0|0.0|100.0|46.0|70.333336|1996|6|0.0
1996-06-08|27.875029|16.165028|22.778778|10.805999|6.137022|0.1|0.0|0.004166667|94.0|51.0|74.0|1996|6|0.0
1996-06-09|25.255028|16.40503|20.841278|4.896529|2.820641|0.1|0.0|0.004166667|100.0|54.0|76.625|1996|6|0.0
1996-06-10|27.125029|15.065029|21.723778|5.8048253|4.1344314|0.0|0.0|0.0|100.0|53.0|75.041664|1996|6|0.0
1996-06-11|27.545029|15.865029|22.873777|6.151683|3.8639362|0.0|0.0|0.0|100.0|51.0|71.041664|1996|6|0.0
