Date|MaxT|MinT|AvgT|MaxWind|AvgWind|MaxRain|MinRain|AvgRain|MaxHU|MinHU|AvgHU|Year|Month|ExtremeDay
1992-11-08|15.735029|5.515029|9.084612|10.383987|7.3185525|0.0|0.0|0.0|100.0|62.0|86.833336|1992|11|0.0
1992-11-09|14.675029|4.7450285|9.075445|14.48972|8.842379|0.0|0.0|0.0|100.0|56.0|84.458336|1992|11|0.0
1992-11-10|12.265029|6.315029|8.9029455|29.30409|19.996916|0.8|0.0|0.17916667|100.0|80.0|94.625|1992|11|0.0
1992-11-11|10.895029|7.1650286|9.039195|59.912697|35.160717|0.9|0.0|0.4125|100.0|82.0|94.166664|1992|11|0.0
1992-11-12|6.815029|3.265029|5.2783623|43.394558|37.50944|0.7|0.0|0.11666667|95.0|77.0|88.416664|1992|11|0.0
1992-11-13|6.485029|3.0250287|4.515445|29.337238|16.521093|1.0|0.0|0.3875|96.0|82.0|90.708336|1992|11|0.0
1992-11-14|5.9450293|0.4350288|3.4858623|9.422101|8.220717|0.3|0.0|0.020833334|96.0|66.0|86.25|1992|11|0.0
1992-11-15|10.065029|4.925029|7.9771123|18.58451|11.628153|3.5|0.0|1.05|100.0|94.0|97.875|1992|11|1.0
1992-11-16|9.385029|6.965029|8.265446|37.75025|22.942804|1.1|0.0|0.18333334|100.0|89.0|94.041664|1992|11|0.0
1992-11-17|6.8650284|3.3350286|4.7179456|56.248775|41.957222|1.1|0.0|0.17500001|96.0|69.0|86.125|1992|11|0.0
1992-11-18|5.385029|2.805029|3.8066955|39.575443|28.347|1.0|0.0|0.09583333|96.0|70.0|87.125|1992|11|0.0
1992-11-19|8.485029|3.1050286|6.259612|31.534437|20.91204|1.0|0.0|0.20833333|100.0|92.0|96.541664|1992|11|0.0
1992-11-20|7.645029|4.865029|6.2979455|39.96|21.042042|0.5|0.0|0.09583333|100.0|70.0|88.833336|1992|11|0.0
1992-11-21|10.415029|5.4450293|7.8321123|54.59314|16.398214|1.6|0.0|0.4|100.0|93.0|97.5|1992|11|0.0
1992-11-22|11.285029|9.035028|9.830862|53.178955|28.133104|1.9|0.0|0.5875|100.0|96.0|99.125|1992|11|0.0
1992-11-23|15.085029|7.725029|10.623363|13.089354|8.487385|0.0|0.0|0.0|100.0|78.0|94.5|1992|11|0.0
1992-11-24|15.245029|3.4950287|8.263362|12.7279215|9.246967|0.0|0.0|0.0|100.0|63.0|87.416664|1992|11|0.0
1992-11-25|11.225029|1.1450288|6.6366954|30.77737|20.037586|0.3|0.0|0.025|100.0|82.0|92.333336|1992|11|0.0
1992-11-26|11.815029|7.065029|9.951279|48.37682|38.051823|2.2|0.0|0.25833333|100.0|93.0|97.416664|1992|11|1.0
1992-11-27|10.765029|6.3650284|7.938362|24.57511|11.478038|0.0|0.0|0.0|99.0|64.0|86.083336|1992|11|0.0
1992-11-28|9.555029|4.865029|7.9129457|19.373219|11.22085|1.4|0.0|0.31666666|100.0|93.0|96.833336|1992|11|0.0
1992-11-29|12.245029|7.2850285|9.722528|13.698934|8.43087|1.8|0.0|0.375|100.0|93.0|97.625|1992|11|0.0
1992-11-30|12.885029|4.445029|7.696279|15.111424|10.186012|0.0|0.0|0.0|100.0|70.0|89.541664|1992|11|0.0
1992-12-01|11.745029|3.6650288|8.033362|19.09358|10.967375|0.0|0.0|0.0|100.0|79.0|90.5|1992|12|0.0
1992-12-02|12.585029|3.325029|8.613362|41.236897|20.523172|0.2|0.0|0.008333334|100.0|63.0|88.875|1992|12|0.0
1992-12-03|11.335029|3.1050286|8.919195|64.12852|31.486214|1.5|0.0|0.2125|100.0|77.0|91.708336|1992|12|0.0
1992-12-04|9.755029|4.385029|6.7250285|56.84011|34.888927|1.5|0.0|0.22083333|100.0|75.0|90.375|1992|12|0.0
1992-12-05|6.5850286|2.5450287|5.189612|19.386591|14.147639|1.1|0.0|0.09166667|100.0|70.0|87.5|1992|12|0.0
1992-12-06|6.235029|-1.7049713|2.852112|18.289274|13.497802|0.2|0.0|0.025|100.0|69.0|89.0|1992|12|0.0
1992-12-07|7.0750284|-1.7549713|3.592112|17.026896|11.529217|2.4|0.0|0.725|100.0|82.0|93.541664|1992|12|1.0
1992-12-08|7.395029|3.2050288|5.6516953|16.595179|12.211949|1.2|0.0|0.57916665|98.0|90.0|94.916664|1992|12|0.0
1992-12-09|3.4250288|1.6150289|2.398779|14.007655|11.666576|0.2|0.0|0.033333335|96.0|80.0|91.583336|1992|12|0.0
1992-12-10|2.075029|0.22502875|1.2233621|13.849477|11.81946|0.1|0.0|0.0125|97.0|82.0|91.75|1992|12|0.0
1992-12-11|3.3650289|-1.3849711|0.46836212|14.77755|6.607819|0.0|0.0|0.0|97.0|68.0|88.958336|1992|12|0.0
1992-12-12|3.7150288|1.7050288|2.6416955|24.57511|16.873697|1.3|0.0|0.40833333|96.0|89.0|93.75|1992|12|0.0
1992-12-13|3.8850288|1.1850288|2.7379456|14.84318|11.824664|0.0|0.0|0.0|96.0|74.0|87.583336|1992|12|0.0
1992-12-14|7.5750284|-0.62497115|2.8612788|10.636766|7.1786594|0.0|0.0|0.0|100.0|69.0|88.541664|1992|12|0.0
1992-12-15|9.135029|1.4350288|4.2904453|9.511088|8.063426|0.0|0.0|0.0|100.0|70.0|89.791664|1992|12|0.0
1992-12-16|9.325028|-0.4349712|4.1804457|10.315115|9.139945|0.0|0.0|0.0|100.0|70.0|89.583336|1992|12|0.0
1992-12-17|10.445029|0.16502881|4.660862|9.021574|6.748575|0.0|0.0|0.0|99.0|67.0|87.5|1992|12|0.0
1992-12-18|8.715029|0.3050288|3.4633622|11.720751|9.597877|0.0|0.0|0.0|100.0|71.0|90.875|1992|12|0.0
1992-12-19|10.835029|-0.16497123|5.7166953|12.24|9.637115|0.0|0.0|0.0|100.0|66.0|88.916664|1992|12|0.0
1992-12-20|11.765029|2.5650287|6.9625287|11.5199995|8.208247|0.0|0.0|0.0|100.0|70.0|90.041664|1992|12|0.0
1992-12-21|11.725029|5.0050287|8.057112|13.202726|10.068472|0.0|0.0|0.0|100.0|77.0|92.416664|1992|12|0.0
1992-12-22|12.135029|4.725029|7.900862|8.311245|5.087302|0.0|0.0|0.0|98.0|78.0|89.708336|1992|12|0.0
1992-12-23|10.2050295|4.6650286|7.074612|5.4833565|4.1459255|0.0|0.0|0.0|99.0|74.0|89.416664|1992|12|0.0
1992-12-24|8.815029|1.9750288|4.9458623|7.6367526|5.765999|0.0|0.0|0.0|99.0|73.0|92.125|1992|12|0.0
1992-12-25|5.055029|0.08502877|1.7829455|6.8777895|5.602218|0.0|0.0|0.0|98.0|76.0|91.458336|1992|12|0.0
1992-12-26|3.9350288|-1.4649713|0.59836215|7.6367526|4.9778094|0.0|0.0|0.0|100.0|71.0|87.916664|1992|12|0.0
1992-12-27|3.6550288|-4.8349714|-0.9253879|16.075521|10.091454|0.0|0.0|0.0|100.0|66.0|90.333336|1992|12|0.0
1992-12-28|1.4550288|-5.264971|-2.9983046|35.309376|22.976479|0.0|0.0|0.0|97.0|54.0|80.541664|1992|12|0.0
1992-12-29|1.0150288|-5.2449713|-2.5587213|9.693296|6.5610714|0.0|0.0|0.0|95.0|61.0|80.0|1992|12|0.0
1992-12-30|5.095029|-3.1449711|0.21711214|4.3498964|3.805014|0.0|0.0|0.0|83.0|52.0|72.083336|1992|12|0.0
1992-12-31|6.305029|-0.6849711|1.6900288|6.489992|4.1190324|0.0|0.0|0.0|89.0|62.0|79.125|1992|12|0.0
1993-01-01|4.055029|-5.2049713|-0.93830454|15.379206|9.727573|0.0|0.0|0.0|100.0|61.0|86.75|1993|1|0.0
1993-01-02|-0.86497116|-8.134971|-4.8395543|23.828083|15.5211935|0.0|0.0|0.0|95.0|50.0|78.166664|1993|1|0.0
1993-01-03|-4.1249714|-9.054971|-7.212888|18.514643|11.887269|0.0|0.0|0.0|87.0|62.0|74.041664|1993|1|0.0
1993-01-04|1.1150289|-8.154971|-3.8041377|7.8954163|4.744332|0.0|0.0|0.0|91.0|55.0|72.875|1993|1|0.0
1993-01-05|5.7550287|-4.0549707|0.7775288|11.304229|8.283323|0.0|0.0|0.0|84.0|53.0|71.916664|1993|1|0.0
1993-01-06|10.565029|2.785029|6.3379455|12.904882|10.71827|0.0|0.0|0.0|100.0|52.0|78.791664|1993|1|0.0
1993-01-07|11.135029|6.305029|8.083778|15.986593|13.22761|0.2|0.0|0.054166667|100.0|85.0|96.708336|1993|1|0.0
1993-01-08|9.2450285|6.8350286|7.869612|14.57889|9.796066|1.0|0.0|0.104166664|100.0|92.0|98.0|1993|1|0.0
1993-01-09|9.435029|5.8250284|7.251695|18.089775|12.618559|0.0|0.0|0.0|100.0|73.0|94.083336|1993|1|0.0
1993-01-10|12.935029|2.6550288|6.9029455|32.49785|21.837841|0.0|0.0|0.0|100.0|68.0|90.583336|1993|1|0.0
1993-01-11|12.525029|4.9950285|8.852945|67.27281|43.94338|0.2|0.0|0.020833334|100.0|64.0|84.5|1993|1|0.0
1993-01-12|11.745029|6.1950293|8.543779|59.847767|33.886612|1.2|0.0|0.087500006|100.0|75.0|94.0|1993|1|0.0
1993-01-13|12.745029|5.175029|8.080029|24.590923|15.954368|0.2|0.0|0.008333334|100.0|73.0|91.583336|1993|1|0.0
